Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
39999.975622,17969.391999,-87.530799,-2242.000000,-1191.000000,2538.709318
40009.974897,17962.328505,-87.453383,-2244.000000,-1192.000000,2540.944706
40019.974172,17967.094142,-87.280018,-2248.000000,-1191.000000,2544.009630
40029.973447,17878.810362,-87.593075,-2247.000000,-1189.000000,2542.190001
40039.972723,17910.852967,-87.528620,-2247.000000,-1187.000000,2541.255202
40049.971998,17975.633153,-87.632571,-2238.000000,-1189.000000,2534.238544
40059.971273,17958.694365,-87.503657,-2248.000000,-1193.000000,2544.946561
40069.970548,17966.607597,-87.311597,-2243.000000,-1200.000000,2543.825662
40079.969823,17865.068384,-87.545671,-2253.000000,-1192.000000,2548.896428
40089.969099,17936.085721,-87.456680,-2242.000000,-1196.000000,2541.058834
40099.968374,17935.892670,-87.319879,-2250.000000,-1194.000000,2547.181972
40109.967649,17902.237233,-87.660335,-2253.000000,-1193.000000,2549.364234
40119.966924,17858.748848,-87.601585,-2252.000000,-1198.000000,2550.824965
40129.966199,17822.076046,-87.482484,-2257.000000,-1200.000000,2556.178593
40139.965475,17859.078623,-87.419218,-2251.000000,-1200.000000,2550.882396
40149.964750,17898.713102,-87.465677,-2252.000000,-1201.000000,2552.235295
40159.964025,17871.096214,-87.360289,-2251.000000,-1199.000000,2550.412124
40169.963300,17799.339205,-87.436294,-2251.000000,-1203.000000,2552.295046
40179.962575,17859.869119,-87.519637,-2253.000000,-1196.000000,2550.769492
40189.961851,17885.000735,-87.473188,-2254.000000,-1199.000000,2553.060320
40199.961126,17814.102328,-87.416953,-2254.000000,-1203.000000,2554.941291
40209.960401,17809.731054,-87.491433,-2256.000000,-1203.000000,2556.705888
40219.959676,17854.739852,-87.411163,-2246.000000,-1203.000000,2547.886379
40229.958951,17784.929282,-87.703946,-2258.000000,-1204.000000,2558.941187
40239.958227,17796.063843,-87.498675,-2258.000000,-1201.000000,2557.531036
40249.957502,17810.818895,-87.397173,-2254.000000,-1204.000000,2555.412296
40259.956777,17820.464870,-87.584318,-2259.000000,-1204.000000,2559.823627
40269.956052,17856.033117,-87.809307,-2259.000000,-1198.000000,2557.007039
40279.955328,17784.531767,-87.607885,-2259.000000,-1200.000000,2557.944683
40289.954603,17793.759418,-87.442698,-2257.000000,-1206.000000,2559.000782
40299.953878,17773.058014,-87.418518,-2259.000000,-1211.000000,2563.123485
40309.953153,17791.333734,-87.767209,-2264.000000,-1196.000000,2560.490578
40319.952428,17694.672689,-87.379834,-2263.000000,-1215.000000,2568.539274
40329.951704,17826.871430,-87.309345,-2250.000000,-1209.000000,2554.247639
40339.950979,17711.174961,-87.354247,-2263.000000,-1215.000000,2568.539274
40349.950254,17746.618248,-87.590700,-2266.000000,-1206.000000,2566.942150
40359.949529,17754.740056,-87.450170,-2262.000000,-1211.000000,2565.767916
40369.948804,17732.839801,-87.354001,-2263.000000,-1211.000000,2566.649567
40379.948080,17776.274465,-87.496211,-2260.000000,-1213.000000,2564.950097
40389.947355,17698.210106,-87.217160,-2262.000000,-1216.000000,2568.131617
40399.946630,17741.182947,-87.527078,-2268.000000,-1209.000000,2570.117702
40409.945905,17701.817266,-87.403505,-2265.000000,-1219.000000,2572.194783
40419.945180,17693.041936,-87.548113,-2264.000000,-1211.000000,2567.531305
40429.944456,17765.630202,-87.349318,-2261.000000,-1217.000000,2567.724674
40439.943731,17734.266984,-87.437936,-2267.000000,-1213.000000,2571.119989
40449.943006,17734.000012,-87.264539,-2266.000000,-1220.000000,2573.549300
40459.942281,17622.373903,-87.157424,-2265.000000,-1226.000000,2575.519559
40469.941556,17765.535352,-87.600814,-2266.000000,-1215.000000,2571.182802
40479.940832,17763.727132,-87.548972,-2268.000000,-1212.000000,2571.530284
40489.940107,17654.590173,-87.270429,-2271.000000,-1225.000000,2580.322848
40499.939382,17671.323050,-87.579906,-2270.000000,-1214.000000,2574.236974
40509.938657,17661.294470,-87.482681,-2272.000000,-1216.000000,2576.943926
40519.937932,17621.540183,-87.341876,-2274.000000,-1227.000000,2583.912731
40529.937208,17670.423075,-87.421984,-2267.000000,-1215.000000,2572.064152
40539.936483,17709.538744,-87.488313,-2271.000000,-1218.000000,2577.006985
40549.935758,17792.541855,-87.378766,-2266.000000,-1217.000000,2572.128496
40559.935033,17657.622739,-87.413395,-2271.000000,-1219.000000,2577.479777
40569.934309,17584.780597,-87.028752,-2272.000000,-1242.000000,2589.314195
40579.933584,17633.386724,-87.648419,-2279.000000,-1214.000000,2582.176795
40589.932859,17632.561660,-87.221624,-2270.000000,-1231.000000,2582.297620
40599.932134,17585.129442,-87.355466,-2279.000000,-1229.000000,2589.262829
40609.931409,17640.372906,-87.544178,-2276.000000,-1215.000000,2580.000194
40619.930685,17633.077797,-87.244226,-2276.000000,-1225.000000,2584.724550
40629.929960,17689.926242,-87.552453,-2272.000000,-1222.000000,2579.780611
40639.929235,17632.152631,-87.306545,-2272.000000,-1225.000000,2581.203014
40649.928510,17672.253184,-87.440667,-2272.000000,-1225.000000,2581.203014
40659.927785,17680.295149,-87.505198,-2275.000000,-1222.000000,2582.423087
40669.927061,17579.987233,-87.299608,-2273.000000,-1234.000000,2586.365210
40679.926336,17705.082668,-87.628668,-2274.000000,-1226.000000,2583.438019
40689.925611,17593.289481,-87.447199,-2277.000000,-1230.000000,2587.977782
40699.924886,17607.377981,-87.397978,-2282.000000,-1234.000000,2594.278320
40709.924161,17536.338202,-87.471331,-2277.000000,-1230.000000,2587.977782
40719.923437,17596.063436,-87.495717,-2280.000000,-1236.000000,2593.471804
40729.922712,17547.240994,-87.268942,-2279.000000,-1243.000000,2595.937210
40739.921987,17690.805165,-87.559480,-2280.000000,-1222.000000,2586.828947
40749.921262,17578.160911,-87.346010,-2282.000000,-1238.000000,2596.183353
40759.920537,17582.606805,-87.262519,-2280.000000,-1233.000000,2592.043402
40769.919813,17549.167439,-87.151249,-2279.000000,-1245.000000,2596.895454
40779.919088,17666.565649,-87.339371,-2276.000000,-1227.000000,2585.673027
40789.918363,17589.123108,-87.572164,-2288.000000,-1231.000000,2598.134908
40799.917638,17662.119438,-87.086551,-2271.000000,-1240.000000,2587.477729
40809.916914,17578.660359,-87.395332,-2283.000000,-1236.000000,2596.109589
40819.916189,17593.806126,-87.393724,-2281.000000,-1235.000000,2593.874708
40829.915464,17588.787512,-87.187974,-2280.000000,-1241.000000,2595.858432
40839.914739,17545.638366,-87.114046,-2284.000000,-1247.000000,2602.242302
40849.914014,17540.376071,-87.390191,-2274.000000,-1249.000000,2594.431922
40859.913290,17548.339002,-87.265248,-2284.000000,-1246.000000,2601.763248
40869.912565,17507.300415,-87.470303,-2286.000000,-1235.000000,2598.272695
40879.911840,17473.584893,-87.586423,-2290.000000,-1238.000000,2603.218009
40889.911115,17541.765434,-87.349045,-2284.000000,-1243.000000,2600.327864
40899.910390,17494.681161,-87.290531,-2289.000000,-1246.000000,2606.153679
40909.909666,17569.517397,-87.311510,-2282.000000,-1248.000000,2600.966743
40919.908941,17503.564590,-87.186881,-2288.000000,-1255.000000,2609.591731
40929.908216,17518.029441,-87.230324,-2290.000000,-1247.000000,2607.510115
40939.907491,17590.725262,-87.208037,-2285.000000,-1251.000000,2605.038579
40949.906766,17534.777447,-87.159254,-2286.000000,-1254.000000,2607.357283
40959.906042,17474.152987,-87.522609,-2291.000000,-1246.000000,2607.910466
40969.905317,17500.786735,-87.642444,-2290.000000,-1242.000000,2605.122646
40979.904592,17499.153802,-87.466846,-2292.000000,-1244.000000,2607.834351
40989.903867,17515.647974,-87.479588,-2290.000000,-1245.000000,2606.554239
40999.903142,17473.765227,-87.351210,-2290.000000,-1253.000000,2610.384838
41009.902418,17473.101851,-87.396125,-2294.000000,-1246.000000,2610.546303
41019.901693,17461.341265,-87.445465,-2291.000000,-1250.000000,2609.823940
41029.900968,17462.568503,-87.421283,-2293.000000,-1251.000000,2612.058575
41039.900243,17441.701905,-87.413373,-2293.000000,-1250.000000,2611.579790
