Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
49999.969527,14081.797960,-86.859025,-2653.000000,-1847.000000,3232.617825
50009.968802,14150.255250,-86.750380,-2647.000000,-1837.000000,3221.983551
50019.968078,14153.152167,-87.111645,-2654.000000,-1833.000000,3225.461982
50029.967353,14092.860089,-86.841951,-2650.000000,-1853.000000,3233.590729
50039.966628,14095.941967,-87.149655,-2659.000000,-1845.000000,3236.403251
50049.965903,14167.934313,-86.860575,-2643.000000,-1846.000000,3223.843203
50059.965178,14081.802197,-86.808568,-2651.000000,-1856.000000,3236.129942
50069.964454,14102.385284,-87.052595,-2655.000000,-1842.000000,3231.406660
50079.963729,14106.967753,-86.891989,-2646.000000,-1842.000000,3224.016129
50089.963004,14068.273363,-87.080495,-2659.000000,-1845.000000,3236.403251
50099.962279,14106.344614,-87.231564,-2663.000000,-1840.000000,3236.845532
50109.961554,14081.032780,-86.746904,-2656.000000,-1856.000000,3240.227153
50119.960830,14050.614219,-86.883654,-2666.000000,-1857.000000,3249.000616
50129.960105,14103.688218,-87.081001,-2652.000000,-1847.000000,3231.797178
50139.959380,13998.800310,-87.001809,-2673.000000,-1858.000000,3255.317650
50149.958655,14092.798935,-86.939181,-2650.000000,-1845.000000,3229.013007
50159.957930,14050.728776,-87.220750,-2656.000000,-1857.000000,3240.800056
50169.957206,14004.464263,-86.777353,-2665.000000,-1861.000000,3250.468582
50179.956481,14123.261785,-86.667279,-2649.000000,-1851.000000,3231.625288
50189.955756,14028.511701,-87.078708,-2673.000000,-1854.000000,3253.036274
50199.955031,14104.941785,-86.994658,-2646.000000,-1844.000000,3225.159221
50209.954306,14079.084515,-86.833930,-2649.000000,-1855.000000,3233.918057
50219.953582,14041.387661,-87.088295,-2661.000000,-1848.000000,3239.756935
50229.952857,14100.369090,-87.000320,-2653.000000,-1858.000000,3238.915405
50239.952132,14039.337735,-86.936822,-2663.000000,-1859.000000,3247.683790
50249.951407,14074.321616,-86.977203,-2654.000000,-1859.000000,3240.308164
50259.950683,14070.921803,-87.055473,-2660.000000,-1866.000000,3249.239296
50269.949958,14035.413977,-86.914859,-2653.000000,-1860.000000,3240.063117
50279.949233,14034.354943,-86.954592,-2661.000000,-1862.000000,3247.763076
50289.948508,14110.311698,-86.795860,-2648.000000,-1863.000000,3237.695631
50299.947783,14029.881846,-86.830705,-2658.000000,-1865.000000,3247.027718
50309.947059,14019.949631,-87.081827,-2661.000000,-1861.000000,3247.189862
50319.946334,14013.284335,-86.918662,-2667.000000,-1870.000000,3257.267106
50329.945609,13986.658827,-86.880151,-2671.000000,-1872.000000,3261.690513
50339.944884,14025.847667,-86.982546,-2660.000000,-1865.000000,3248.665110
50349.944159,13998.364621,-86.817045,-2660.000000,-1873.000000,3253.264361
50359.943435,14020.042280,-86.923203,-2656.000000,-1865.000000,3245.390731
50369.942710,14017.226724,-86.860414,-2661.000000,-1872.000000,3253.506570
50379.941985,13964.361793,-86.997006,-2669.000000,-1869.000000,3258.331168
50389.941260,14008.143327,-86.771368,-2660.000000,-1874.000000,3253.840193
50399.940535,13990.932731,-86.773868,-2660.000000,-1876.000000,3254.992473
50409.939811,13959.744840,-86.928274,-2671.000000,-1873.000000,3262.264551
50419.939086,13994.561449,-86.779127,-2666.000000,-1879.000000,3261.624902
50429.938361,14001.456171,-86.901851,-2662.000000,-1872.000000,3254.324507
50439.937636,13888.899507,-87.130055,-2674.000000,-1879.000000,3268.167223
50449.936911,14053.158759,-86.782691,-2655.000000,-1871.000000,3248.024938
50459.936187,14012.268844,-86.831617,-2661.000000,-1874.000000,3254.657739
50469.935462,13998.269860,-86.933924,-2670.000000,-1878.000000,3264.319837
50479.934737,13985.872076,-87.266440,-2673.000000,-1867.000000,3260.462851
50489.934012,13969.430776,-86.818162,-2662.000000,-1880.000000,3258.932954
50499.933288,13967.933827,-86.787566,-2668.000000,-1882.000000,3264.988208
50509.932563,13918.807363,-86.960835,-2673.000000,-1880.000000,3267.924265
50519.931838,13931.214683,-86.778598,-2668.000000,-1887.000000,3267.872856
50529.931113,13968.294205,-86.652230,-2670.000000,-1892.000000,3272.394231
50539.930388,13963.761326,-86.932207,-2670.000000,-1879.000000,3264.895251
50549.929664,13935.494155,-86.744999,-2673.000000,-1885.000000,3270.803265
50559.928939,13927.774835,-86.993632,-2672.000000,-1884.000000,3269.409733
50569.928214,13909.997848,-86.926199,-2670.000000,-1886.000000,3268.928877
50579.927489,13900.042673,-86.925355,-2679.000000,-1881.000000,3273.408316
50589.926764,13948.964411,-86.893078,-2668.000000,-1886.000000,3267.295518
50599.926040,13914.479832,-86.993548,-2671.000000,-1889.000000,3271.477036
50609.925315,13961.133792,-86.908501,-2666.000000,-1887.000000,3266.240193
50619.924590,13896.826621,-86.989743,-2678.000000,-1885.000000,3274.890685
50629.923865,13904.797745,-87.094045,-2676.000000,-1889.000000,3275.560563
50639.923140,13923.161873,-87.073720,-2675.000000,-1891.000000,3275.897740
50649.922416,13890.916579,-86.985509,-2679.000000,-1886.000000,3276.284023
50659.921691,13904.784203,-87.410661,-2662.000000,-1890.000000,3264.711932
50669.920966,13911.721841,-86.979751,-2678.000000,-1887.000000,3276.042277
50679.920241,13905.691029,-86.919708,-2677.000000,-1894.000000,3279.262874
50689.919516,13901.519435,-86.859615,-2676.000000,-1894.000000,3278.446583
50699.918792,13952.671225,-86.991628,-2670.000000,-1891.000000,3271.816162
50709.918067,13942.853985,-86.802157,-2683.000000,-1892.000000,3283.009747
50719.917342,13907.278127,-86.912430,-2677.000000,-1884.000000,3273.497365
50729.916617,13898.737585,-86.932235,-2672.000000,-1894.000000,3275.182438
50739.915892,13912.887631,-86.851900,-2670.000000,-1896.000000,3274.708537
50749.915168,13881.423769,-86.785846,-2681.000000,-1897.000000,3284.260952
50759.914443,13897.324859,-86.948308,-2676.000000,-1897.000000,3280.180635
50769.913718,13883.075020,-86.925784,-2678.000000,-1900.000000,3283.547472
50779.912993,13867.103188,-86.857459,-2679.000000,-1902.000000,3285.520507
50789.912269,13899.349365,-86.852594,-2676.000000,-1898.000000,3280.759059
50799.911544,13872.535859,-86.798711,-2676.000000,-1904.000000,3284.233853
50809.910819,13916.207439,-86.895476,-2677.000000,-1904.000000,3285.048706
50819.910094,13869.291925,-86.966132,-2682.000000,-1900.000000,3286.810612
50829.909369,13878.311654,-86.952949,-2680.000000,-1896.000000,3282.867040
50839.908645,13863.642480,-86.914690,-2678.000000,-1903.000000,3285.284310
50849.907920,13867.103188,-86.857459,-2679.000000,-1902.000000,3285.520507
50859.907195,13874.960497,-86.860020,-2674.000000,-1904.000000,3282.604454
50869.906470,13895.008906,-86.838629,-2676.000000,-1906.000000,3285.393736
50879.905745,13930.323701,-86.908901,-2671.000000,-1908.000000,3282.484577
50889.905021,13836.900397,-86.861114,-2678.000000,-1909.000000,3288.763445
50899.904296,13852.036562,-87.055350,-2681.000000,-1908.000000,3290.626840
50909.903571,13867.708976,-86.919195,-2677.000000,-1909.000000,3287.949209
50919.902846,13808.738154,-86.871677,-2684.000000,-1909.000000,3293.651014
50929.902121,13822.779224,-86.642192,-2681.000000,-1908.000000,3290.626840
50939.901397,13870.267427,-86.642462,-2678.000000,-1912.000000,3290.505736
50949.900672,13855.836797,-86.809247,-2676.000000,-1909.000000,3287.135075
50959.899947,13817.810168,-87.007476,-2683.000000,-1908.000000,3292.256521
50969.899222,13839.317860,-87.071437,-2684.000000,-1909.000000,3293.651014
50979.898497,13850.984205,-86.733751,-2678.000000,-1910.000000,3289.344008
50989.897773,13862.629477,-86.985176,-2680.000000,-1910.000000,3290.972501
50999.897048,13839.659393,-86.834920,-2683.000000,-1917.000000,3297.480553
51009.896323,13835.109538,-86.814632,-2680.000000,-1915.000000,3293.876895
51019.895598,13807.457340,-86.982502,-2684.000000,-1914.000000,3296.551532
51029.894873,13829.568021,-86.818064,-2681.000000,-1919.000000,3297.017137
51039.894149,13821.273354,-86.800364,-2679.000000,-1914.000000,3292.481891
51049.893424,13804.035098,-86.843115,-2680.000000,-1921.000000,3297.368800
51059.892699,13796.148541,-86.981882,-2686.000000,-1919.000000,3301.084216
51069.891974,13788.860078,-86.939537,-2686.000000,-1922.000000,3302.829090
51079.891250,13781.114632,-86.889197,-2693.000000,-1919.000000,3306.782424
51089.890525,13783.393152,-86.895748,-2689.000000,-1925.000000,3307.014666
51099.889800,13782.072215,-86.959716,-2688.000000,-1922.000000,3304.455780
51109.889075,13725.039131,-86.707032,-2688.000000,-1928.000000,3307.949214
51119.888350,13793.930242,-86.974806,-2693.000000,-1920.000000,3307.362847
51129.887626,13767.427989,-86.921971,-2693.000000,-1926.000000,3310.849589
51139.886901,13795.861050,-86.730245,-2688.000000,-1928.000000,3307.949214
51149.886176,13758.063062,-86.779340,-2687.000000,-1927.000000,3306.553795
51159.885451,13778.540928,-86.867583,-2689.000000,-1927.000000,3308.179258
51169.884726,13776.982432,-86.876187,-2693.000000,-1927.000000,3311.431413
51179.884002,13792.191918,-86.732898,-2682.000000,-1928.000000,3303.075537
51189.883277,13737.129744,-86.965836,-2697.000000,-1928.000000,3315.266656
51199.882552,13690.320133,-86.777528,-2697.000000,-1933.000000,3318.176909
51209.881827,13716.011422,-86.807593,-2696.000000,-1935.000000,3318.529946
51219.881102,13749.025030,-86.785402,-2692.000000,-1935.000000,3315.281134
51229.880378,13719.251764,-86.703055,-2689.000000,-1929.000000,3309.344648
51239.879653,13748.214766,-86.958988,-2691.000000,-1930.000000,3311.552657
51249.878928,13681.663781,-86.893514,-2699.000000,-1932.000000,3319.220541
51259.878203,13732.836713,-86.756500,-2698.000000,-1932.000000,3318.407449
51269.877478,13732.575741,-86.843525,-2697.000000,-1938.000000,3321.092140
51279.876754,13752.452044,-86.962967,-2700.000000,-1940.000000,3324.695475
51289.876029,13712.056921,-86.991094,-2699.000000,-1937.000000,3322.133351
51299.875304,13743.763788,-86.938549,-2691.000000,-1935.000000,3314.469188
51309.874579,13770.592963,-86.951201,-2693.000000,-1931.000000,3313.760703
51319.873855,13721.036352,-86.883080,-2697.000000,-1941.000000,3322.843662
51329.873130,13732.965544,-86.803911,-2699.000000,-1940.000000,3323.883422
51339.872405,13714.916352,-86.777327,-2695.000000,-1940.000000,3320.636234
51349.871680,13693.338503,-86.847246,-2698.000000,-1943.000000,3324.823755
51359.870955,13752.653586,-86.970994,-2697.000000,-1936.000000,3319.925451
51369.870231,13696.280401,-86.970945,-2698.000000,-1940.000000,3323.071471
51379.869506,13768.364717,-86.983937,-2694.000000,-1940.000000,3319.824694
51389.868781,13731.477101,-86.860579,-2694.000000,-1944.000000,3322.163753
51399.868056,13676.518226,-86.843448,-2701.000000,-1949.000000,3330.765978
51409.867331,13728.667413,-86.932797,-2697.000000,-1941.000000,3322.843662
51419.866607,13699.497130,-86.811488,-2699.000000,-1944.000000,3326.219626
51429.865882,13701.360178,-86.857352,-2700.000000,-1945.000000,3327.615513
51439.865157,13608.921799,-86.607318,-2697.000000,-1952.000000,3329.281154
51449.864432,13656.902657,-86.723964,-2701.000000,-1954.000000,3333.694197
51459.863707,13686.684417,-87.049944,-2695.000000,-1951.000000,3327.074691
51469.862983,13629.021627,-86.726325,-2707.000000,-1951.000000,3336.802362
51479.862258,13658.030942,-86.989355,-2706.000000,-1948.000000,3334.237544
51489.861533,13687.870846,-86.843471,-2702.000000,-1951.000000,3332.747365
51499.860808,13600.072142,-86.936235,-2709.000000,-1955.000000,3340.764284
51509.860083,13674.521879,-86.837432,-2701.000000,-1953.000000,3333.108159
51519.859359,13657.913855,-86.887732,-2706.000000,-1953.000000,3337.161219
51529.858634,13658.475880,-86.997250,-2706.000000,-1951.000000,3335.991157
51539.857909,13677.794694,-86.913360,-2706.000000,-1956.000000,3338.917789
51549.857184,13607.964822,-86.758547,-2705.000000,-1959.000000,3339.866165
51559.856459,13710.670574,-86.757392,-2698.000000,-1952.000000,3330.091290
51569.855735,13659.302482,-87.005090,-2709.000000,-1961.000000,3344.278996
51579.855010,13702.043727,-86.912587,-2701.000000,-1956.000000,3334.866864
51589.854285,13673.414618,-86.893436,-2706.000000,-1961.000000,3341.849338
51599.853560,13654.046851,-86.883564,-2703.000000,-1957.000000,3337.073269
51609.852836,13658.803235,-86.951194,-2704.000000,-1960.000000,3339.643095
51619.852111,13651.073266,-86.760200,-2703.000000,-1960.000000,3338.833479
51629.851386,13631.229839,-86.868237,-2707.000000,-1961.000000,3342.659121
