Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
54999.982104,12769.957665,-86.722060,-2804.000000,-2214.000000,3572.703738
55009.981379,12742.879439,-86.831827,-2814.000000,-2217.000000,3582.413293
55019.980654,12734.753374,-86.805974,-2815.000000,-2216.000000,3582.580215
55029.979929,12732.902509,-86.698837,-2808.000000,-2214.000000,3575.843956
55039.979205,12703.761206,-86.643755,-2816.000000,-2222.000000,3587.079592
55049.978480,12697.180520,-86.606157,-2816.000000,-2225.000000,3588.938701
55059.977755,12692.214114,-86.869297,-2816.000000,-2216.000000,3583.366015
55069.977030,12716.244877,-86.694828,-2815.000000,-2221.000000,3585.675111
55079.976305,12687.120687,-86.664083,-2817.000000,-2220.000000,3586.626409
55089.975581,12706.441117,-86.739480,-2815.000000,-2224.000000,3587.534111
55099.974856,12682.407147,-86.828701,-2809.000000,-2223.000000,3582.207420
55109.974131,12707.700561,-86.741251,-2815.000000,-2220.000000,3585.055788
55119.973406,12679.291783,-86.624866,-2817.000000,-2227.000000,3590.963380
55129.972681,12707.700561,-86.741251,-2815.000000,-2220.000000,3585.055788
55139.971957,12661.218061,-86.699392,-2820.000000,-2230.000000,3595.177325
55149.971232,12696.752619,-86.639537,-2810.000000,-2223.000000,3582.991627
55159.970507,12688.519876,-86.645068,-2819.000000,-2232.000000,3595.634158
55169.969782,12700.433456,-86.679481,-2814.000000,-2228.000000,3589.231115
55179.969057,12600.458753,-86.758195,-2821.000000,-2237.000000,3600.306931
55189.968333,12673.883957,-86.581613,-2820.000000,-2234.000000,3597.659795
55199.967608,12654.665429,-86.661909,-2820.000000,-2233.000000,3597.038921
55209.966883,12655.481428,-86.622781,-2822.000000,-2235.000000,3599.848469
55219.966158,12710.072525,-86.627235,-2817.000000,-2233.000000,3594.687469
55229.965433,12675.210251,-86.738888,-2818.000000,-2233.000000,3595.471179
55239.964709,12689.038908,-86.728218,-2818.000000,-2235.000000,3596.713639
55249.963984,12659.270327,-86.670108,-2823.000000,-2232.000000,3598.771040
55259.963259,12664.453908,-86.620800,-2816.000000,-2237.000000,3596.390552
