Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
24999.969140,29441.543729,-87.818857,-1482.000000,-475.000000,1556.261225
25009.968415,29419.757880,-88.116179,-1484.000000,-466.000000,1555.445917
25019.967690,29328.135759,-87.853994,-1485.000000,-471.000000,1557.904362
25029.966965,29313.012804,-88.036520,-1484.000000,-468.000000,1556.046272
25039.966241,29206.518174,-87.879604,-1488.000000,-477.000000,1562.585358
25049.965516,29223.372367,-87.909790,-1489.000000,-476.000000,1563.232868
25059.964791,29206.355497,-88.174401,-1492.000000,-471.000000,1564.578218
25069.964066,29210.030989,-87.363744,-1485.000000,-492.000000,1564.381347
25079.963341,29079.057533,-87.566397,-1497.000000,-481.000000,1572.377181
25089.962617,29010.520375,-87.978069,-1502.000000,-481.000000,1577.138231
25099.961892,29152.614982,-88.291011,-1494.000000,-472.000000,1566.786520
25109.961167,29275.219375,-88.557278,-1493.000000,-468.000000,1564.631906
25119.960442,29041.672158,-87.984115,-1502.000000,-482.000000,1577.443501
25129.959717,29175.716956,-88.165439,-1495.000000,-475.000000,1568.645913
25139.958993,29218.532896,-88.128435,-1491.000000,-472.000000,1563.926149
25149.958268,29188.951313,-88.288983,-1497.000000,-470.000000,1569.047163
25159.957543,29229.970774,-88.227272,-1496.000000,-471.000000,1568.393127
25169.956818,29356.307950,-87.951278,-1489.000000,-473.000000,1562.321990
25179.956093,29075.243737,-87.973178,-1497.000000,-480.000000,1572.071563
25189.955369,29136.011873,-87.586572,-1489.000000,-489.000000,1567.240250
25199.954644,29003.615565,-88.067808,-1503.000000,-482.000000,1578.395705
25209.953919,29089.139654,-88.139025,-1496.000000,-477.000000,1570.205401
25219.953194,29227.030759,-88.288792,-1495.000000,-471.000000,1567.439313
25229.952469,29224.807916,-88.670128,-1495.000000,-461.000000,1564.463486
25239.951745,29259.189015,-88.463986,-1498.000000,-466.000000,1568.808465
25249.951020,28957.971192,-88.159552,-1503.000000,-477.000000,1576.876026
25259.950295,28934.995236,-88.061773,-1505.000000,-480.000000,1579.691426
25269.949570,28839.220852,-88.509343,-1512.000000,-473.000000,1584.257870
25279.948846,29024.992806,-88.028546,-1500.000000,-481.000000,1575.233633
25289.948121,29330.680088,-88.653879,-1491.000000,-463.000000,1561.233487
25299.947396,29283.247734,-87.455517,-1482.000000,-490.000000,1560.904866
25309.946671,28711.351811,-87.976338,-1516.000000,-486.000000,1591.996231
25319.945946,28874.309907,-87.485894,-1500.000000,-496.000000,1579.878476
25329.945222,29195.106769,-88.110381,-1495.000000,-481.000000,1570.473177
25339.944497,28818.586323,-88.788331,-1517.000000,-466.000000,1586.960932
25349.943772,29300.822890,-88.021953,-1484.000000,-483.000000,1560.623273
25359.943047,28846.388895,-88.325028,-1510.000000,-481.000000,1584.758972
25369.942322,28852.262352,-88.566057,-1515.000000,-473.000000,1587.121293
25379.941598,28915.922449,-88.281029,-1506.000000,-481.000000,1580.948133
25389.940873,28888.570597,-88.068073,-1504.000000,-487.000000,1580.881083
25399.940148,28804.943389,-88.061932,-1510.000000,-487.000000,1586.590369
25409.939423,28761.769195,-88.505839,-1516.000000,-476.000000,1588.971995
25419.938698,28951.645484,-88.650414,-1504.000000,-469.000000,1575.429148
25429.937974,28593.041303,-89.073764,-1528.000000,-462.000000,1596.317011
25439.937249,28752.453332,-88.072024,-1516.000000,-491.000000,1593.529730
25449.936524,28400.668039,-87.957878,-1529.000000,-495.000000,1607.129740
25459.935799,28855.579988,-88.257406,-1509.000000,-481.000000,1583.806175
25469.935074,28784.702593,-87.987279,-1512.000000,-491.000000,1589.724819
25479.934350,29063.063387,-88.326532,-1494.000000,-474.000000,1567.390188
25489.933625,28753.498480,-87.804211,-1512.000000,-498.000000,1591.900751
25499.932900,28872.376054,-88.761129,-1509.000000,-469.000000,1580.203151
25509.932175,29212.601731,-87.879571,-1489.000000,-485.000000,1565.996807
25519.931450,28758.296737,-88.213626,-1512.000000,-487.000000,1588.493941
25529.930726,28811.243162,-88.870525,-1513.000000,-472.000000,1584.914193
25539.930001,28879.562805,-88.457606,-1511.000000,-477.000000,1584.503077
25549.929276,28843.410898,-87.449369,-1501.000000,-504.000000,1583.356245
25559.928551,28634.051510,-88.018539,-1517.000000,-491.000000,1594.481107
25569.927827,28583.561562,-88.459491,-1520.000000,-485.000000,1595.501489
25579.927102,28780.806284,-88.266860,-1513.000000,-482.000000,1587.920968
25589.926377,28678.243925,-87.473207,-1510.000000,-503.000000,1591.574378
25599.925652,28885.098301,-88.976540,-1510.000000,-468.000000,1580.861790
25609.924927,28553.745019,-88.811092,-1528.000000,-468.000000,1598.063829
25619.924203,28591.215853,-88.034939,-1521.000000,-493.000000,1598.902749
25629.923478,28445.552780,-87.338252,-1521.000000,-514.000000,1605.502102
25639.922753,28481.010411,-88.089225,-1524.000000,-495.000000,1602.373552
25649.922028,28986.439455,-87.755750,-1496.000000,-500.000000,1577.344604
25659.921303,28363.589244,-88.053623,-1530.000000,-498.000000,1609.007147
25669.920579,28278.186898,-88.445362,-1538.000000,-489.000000,1613.866475
25679.919854,28415.105069,-88.680984,-1531.000000,-477.000000,1603.586605
25689.919129,28549.480257,-87.631905,-1518.000000,-506.000000,1600.112496
25699.918404,28406.176649,-87.850981,-1526.000000,-501.000000,1606.137292
25709.917679,28621.715094,-88.052057,-1521.000000,-497.000000,1600.140619
25719.916955,28898.901652,-88.549934,-1501.000000,-474.000000,1574.063849
25729.916230,28335.786473,-88.189947,-1539.000000,-505.000000,1619.736398
25739.915505,28887.317710,-88.747350,-1508.000000,-474.000000,1580.740333
25749.914780,28584.080802,-87.411696,-1516.000000,-508.000000,1598.849586
25759.914055,28096.145583,-89.080711,-1555.000000,-475.000000,1625.930503
25769.913331,28633.596858,-88.580027,-1520.000000,-481.000000,1594.290124
25779.912606,28066.605122,-89.000660,-1556.000000,-476.000000,1627.179154
25789.911881,27847.853463,-89.140432,-1571.000000,-481.000000,1642.985697
25799.911156,28526.573278,-87.915514,-1525.000000,-499.000000,1604.564115
25809.910432,28004.341076,-88.903205,-1557.000000,-478.000000,1628.721278
25819.909707,29133.266721,-88.435216,-1496.000000,-475.000000,1569.598993
25829.908982,28444.717550,-88.885397,-1531.000000,-476.000000,1603.289431
25839.908257,28619.835416,-87.722578,-1515.000000,-504.000000,1596.634272
25849.907532,27976.044553,-88.350099,-1557.000000,-502.000000,1635.925732
25859.906808,28605.509132,-87.972272,-1518.000000,-496.000000,1596.978397
25869.906083,28274.579201,-87.269658,-1531.000000,-524.000000,1618.189420
25879.905358,28177.889543,-88.268005,-1547.000000,-494.000000,1623.959667
25889.904633,28175.439524,-90.039236,-1555.000000,-456.000000,1620.481719
25899.903908,28335.619827,-87.137407,-1525.000000,-523.000000,1612.189195
25909.903184,28173.742906,-88.539094,-1546.000000,-495.000000,1623.311738
25919.902459,27982.461765,-88.024805,-1554.000000,-504.000000,1633.686628
25929.901734,28299.990710,-88.777891,-1538.000000,-478.000000,1610.567602
25939.901009,27929.045733,-88.502951,-1561.000000,-497.000000,1638.209388
25949.900284,27672.563801,-88.790330,-1578.000000,-492.000000,1652.921051
25959.899560,28659.000104,-88.001402,-1517.000000,-496.000000,1596.027882
25969.898835,28321.394924,-90.211155,-1550.000000,-449.000000,1613.722715
25979.898110,28108.941157,-88.359346,-1548.000000,-501.000000,1627.054086
25989.897385,27819.487661,-87.624317,-1561.000000,-523.000000,1646.283694
25999.896660,28243.295825,-89.261176,-1550.000000,-471.000000,1619.981790
26009.895936,28689.712332,-87.977982,-1515.000000,-501.000000,1595.689819
26019.895211,27835.826353,-86.332262,-1546.000000,-561.000000,1644.638866
26029.894486,28660.925485,-88.177250,-1520.000000,-493.000000,1597.951501
26039.893761,28022.496092,-87.071226,-1541.000000,-539.000000,1632.544640
26049.893036,27970.822360,-86.185132,-1539.000000,-559.000000,1637.376560
26059.892312,27688.949172,-86.835438,-1559.000000,-552.000000,1653.839472
26069.891587,28073.857193,-90.001630,-1562.000000,-457.000000,1627.480568
26079.890862,28469.766640,-86.661706,-1518.000000,-540.000000,1611.187140
26089.890137,28289.493094,-88.887741,-1546.000000,-482.000000,1619.394949
26099.889413,28586.636249,-87.325945,-1513.000000,-520.000000,1599.865307
26109.888688,27598.561767,-87.781781,-1568.000000,-526.000000,1653.874239
