Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
44999.988198,15818.498462,-87.198723,-2467.000000,-1501.000000,2887.748258
45009.987473,15788.349936,-87.285036,-2471.000000,-1500.000000,2890.647159
45019.986749,15804.956188,-87.310923,-2463.000000,-1500.000000,2883.811540
45029.986024,15836.446822,-87.200640,-2461.000000,-1505.000000,2884.708997
45039.985299,15844.502518,-87.368157,-2464.000000,-1500.000000,2884.665665
45049.984574,15810.709820,-87.118809,-2463.000000,-1508.000000,2887.980782
45059.983850,15797.261874,-87.127542,-2468.000000,-1515.000000,2895.902105
45069.983125,15759.905980,-87.228615,-2471.000000,-1505.000000,2893.244891
45079.982400,15801.866284,-87.135657,-2462.000000,-1505.000000,2885.562164
45089.981675,15756.020719,-87.252820,-2466.000000,-1510.000000,2891.583649
45099.980950,15843.455426,-87.210926,-2463.000000,-1507.000000,2887.458744
45109.980226,15806.323003,-87.216762,-2463.000000,-1510.000000,2889.025614
45119.979501,15767.676500,-87.478798,-2467.000000,-1502.000000,2888.268166
45129.978776,15755.306828,-87.168762,-2470.000000,-1511.000000,2895.517398
45139.978051,15752.300311,-86.987047,-2463.000000,-1513.000000,2890.594748
45149.977326,15746.495635,-87.072839,-2469.000000,-1513.000000,2895.708894
45159.976602,15727.569690,-87.154128,-2468.000000,-1514.000000,2895.379077
45169.975877,15771.019386,-87.265935,-2464.000000,-1508.000000,2888.833675
45179.975152,15825.255000,-87.135773,-2464.000000,-1509.000000,2889.355811
45189.974427,15733.928405,-87.193154,-2474.000000,-1512.000000,2899.451672
45199.973702,15780.172574,-87.138952,-2468.000000,-1516.000000,2896.425383
45209.972978,15742.120610,-87.213706,-2467.000000,-1516.000000,2895.573346
45219.972253,15726.725498,-87.435923,-2478.000000,-1514.000000,2903.907712
45229.971528,15737.831507,-87.184069,-2473.000000,-1515.000000,2900.164478
45239.970803,15734.628895,-87.094617,-2468.000000,-1522.000000,2899.570313
45249.970078,15693.097182,-87.181222,-2471.000000,-1519.000000,2900.552016
45259.969354,15674.677977,-87.341336,-2481.000000,-1517.000000,2908.031981
45269.968629,15720.068295,-87.196841,-2473.000000,-1519.000000,2902.256019
45279.967904,15688.259795,-86.990937,-2473.000000,-1522.000000,2903.827302
45289.967179,15656.937430,-87.348308,-2475.000000,-1518.000000,2903.437446
45299.966455,15757.328485,-87.278285,-2472.000000,-1518.000000,2900.880556
45309.965730,15747.872938,-86.972769,-2463.000000,-1520.000000,2894.264846
45319.965005,15644.132094,-87.304354,-2473.000000,-1518.000000,2901.732758
45329.964280,15668.729130,-87.031130,-2474.000000,-1525.000000,2906.252054
45339.963555,15657.255697,-86.994895,-2481.000000,-1525.000000,2912.213248
45349.962831,15657.532876,-87.244483,-2484.000000,-1526.000000,2915.292781
45359.962106,15654.754077,-87.184957,-2486.000000,-1526.000000,2916.997086
45369.961381,15704.126065,-87.301423,-2478.000000,-1522.000000,2908.086656
45379.960656,15685.778849,-87.230380,-2482.000000,-1527.000000,2914.112729
45389.959931,15671.280269,-86.840258,-2469.000000,-1524.000000,2901.471523
45399.959207,15685.793768,-87.187729,-2484.000000,-1526.000000,2915.292781
45409.958482,15629.702049,-87.346721,-2485.000000,-1527.000000,2916.668305
45419.957757,15699.096419,-86.923180,-2472.000000,-1533.000000,2908.757982
45429.957032,15668.834061,-87.172697,-2480.000000,-1534.000000,2916.085733
45439.956307,15728.204908,-87.181318,-2474.000000,-1525.000000,2906.252054
45449.955583,15661.317399,-87.004952,-2477.000000,-1536.000000,2914.588307
45459.954858,15661.680657,-86.846055,-2476.000000,-1537.000000,2914.265774
45469.954133,15649.097385,-87.194273,-2484.000000,-1529.000000,2916.864241
45479.953408,15640.422330,-87.111127,-2474.000000,-1536.000000,2912.039148
45489.952683,15606.468172,-87.010340,-2483.000000,-1538.000000,2920.741858
45499.951959,15609.369971,-87.300403,-2487.000000,-1531.000000,2920.467428
45509.951234,15625.208380,-87.244870,-2486.000000,-1532.000000,2920.140408
45519.950509,15676.190728,-87.067088,-2479.000000,-1538.000000,2917.342112
45529.949784,15618.059724,-87.234507,-2484.000000,-1530.000000,2917.388558
45539.949059,15621.040132,-86.984511,-2486.000000,-1538.000000,2923.292664
45549.948335,15608.983829,-87.186017,-2484.000000,-1536.000000,2920.539676
45559.947610,15628.465392,-87.237687,-2485.000000,-1538.000000,2922.442301
45569.946885,15593.203096,-87.129649,-2485.000000,-1540.000000,2923.495339
45579.946160,15614.002037,-87.066292,-2486.000000,-1541.000000,2924.872134
45589.945436,15571.628294,-87.224777,-2491.000000,-1538.000000,2927.545901
45599.944711,15650.141005,-87.099571,-2481.000000,-1539.000000,2919.568804
45609.943986,15616.363489,-87.202791,-2492.000000,-1541.000000,2929.973549
