Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
9999.993905,73862.834979,-89.481469,-2874.000000,-320.000000,2891.760018
10009.993181,73690.215991,-89.336803,-2878.000000,-328.000000,2896.630456
10019.992456,73765.579549,-89.390042,-2876.000000,-325.000000,2894.304925
10029.991731,73587.364804,-89.445184,-2882.000000,-323.000000,2900.043620
10039.991006,73648.812225,-89.340325,-2879.000000,-328.000000,2897.624027
10049.990281,73311.801968,-89.363225,-2893.000000,-329.000000,2911.647300
10059.989557,73146.080240,-89.364695,-2897.000000,-329.000000,2915.621718
10069.988832,73236.677744,-89.468343,-2894.000000,-324.000000,2912.080356
10079.988107,73169.284304,-89.428117,-2899.000000,-327.000000,2917.384102
10089.987382,73044.947882,-89.491025,-2903.000000,-325.000000,2921.135738
10099.986658,72903.283843,-89.490654,-2908.000000,-325.000000,2926.104749
10109.985933,72833.372075,-89.516156,-2909.000000,-324.000000,2926.987701
10119.985208,72794.001717,-89.086951,-2910.000000,-346.000000,2930.497569
10129.984483,72691.773041,-89.514558,-2914.000000,-326.000000,2932.178712
10139.983758,72673.947475,-89.228647,-2915.000000,-340.000000,2934.761489
10149.983034,72740.758380,-89.235383,-2913.000000,-340.000000,2932.774966
10159.982309,72584.843111,-89.472358,-2920.000000,-328.000000,2938.364171
10169.981584,72546.571543,-89.494142,-2921.000000,-329.000000,2939.469680
10179.980859,72550.223589,-89.356914,-2922.000000,-336.000000,2941.254834
10189.980134,72308.301325,-89.385314,-2930.000000,-335.000000,2949.088842
10199.979410,72246.794187,-89.300017,-2932.000000,-339.000000,2951.532653
10209.978685,72012.761192,-89.379905,-2942.000000,-336.000000,2961.124786
10219.977960,71827.756115,-89.390585,-2949.000000,-335.000000,2967.966644
10229.977235,71930.156472,-89.367677,-2944.000000,-337.000000,2963.225439
10239.976510,71754.768078,-89.389415,-2950.000000,-338.000000,2969.300254
10249.975786,71826.919418,-89.558775,-2950.000000,-327.000000,2968.068227
10259.975061,71352.069659,-89.342993,-2969.000000,-343.000000,2988.747229
10269.974336,71242.522541,-89.191710,-2970.000000,-352.000000,2990.786519
10279.973611,71474.180674,-89.524942,-2965.000000,-333.000000,2983.641064
10289.972886,71525.482450,-89.320121,-2961.000000,-344.000000,2980.915463
10299.972162,71012.183647,-89.246681,-2982.000000,-347.000000,3002.121417
10309.971437,71404.339036,-89.319134,-2968.000000,-344.000000,2987.868806
10319.970712,71093.044191,-89.315703,-2979.000000,-345.000000,2998.910802
10329.969987,71039.143039,-89.327388,-2982.000000,-344.000000,3001.776141
10339.969262,70987.487409,-89.299549,-2982.000000,-347.000000,3002.121417
10349.968538,71038.771722,-89.218509,-2982.000000,-351.000000,3002.586385
10359.967813,70840.441810,-89.326677,-2991.000000,-347.000000,3011.061275
10369.967088,70843.956447,-89.294325,-2990.000000,-348.000000,3010.183383
10379.966363,70786.192711,-89.223686,-2994.000000,-352.000000,3014.621038
10389.965639,70579.726078,-89.103376,-3002.000000,-360.000000,3023.508558
10399.964914,70470.089551,-89.209493,-3008.000000,-355.000000,3028.875864
10409.964189,70371.295551,-89.339028,-3011.000000,-350.000000,3031.273825
10419.963464,70462.661504,-89.324485,-3009.000000,-351.000000,3029.402911
10429.962739,70035.263988,-89.156189,-3025.000000,-360.000000,3046.346172
10439.962015,70251.423250,-89.103164,-3014.000000,-363.000000,3035.780789
10449.961290,70195.114617,-89.355988,-3020.000000,-350.000000,3040.213808
10459.960565,70113.743380,-89.168084,-3023.000000,-361.000000,3044.478609
10469.959840,70212.446267,-89.101706,-3019.000000,-364.000000,3040.864515
10479.959115,70072.030388,-89.147352,-3026.000000,-363.000000,3047.695031
10489.958391,69819.590715,-89.159778,-3037.000000,-365.000000,3058.855015
10499.957666,69937.774907,-89.129030,-3031.000000,-366.000000,3053.017687
10509.956941,69853.689170,-89.131555,-3036.000000,-367.000000,3058.101535
10519.956216,69923.186373,-89.181208,-3034.000000,-362.000000,3055.519596
10529.955491,69841.197664,-88.944302,-3036.000000,-377.000000,3059.317734
10539.954767,69734.939803,-89.106651,-3043.000000,-371.000000,3065.532580
10549.954042,69744.822607,-89.173886,-3041.000000,-366.000000,3062.945804
10559.953317,69646.056428,-89.071165,-3046.000000,-372.000000,3068.631617
10569.952592,69525.250283,-89.183785,-3052.000000,-368.000000,3074.106049
10579.951867,69498.264536,-89.205408,-3054.000000,-367.000000,3075.972204
10589.951143,69553.701819,-89.119806,-3053.000000,-374.000000,3075.822654
10599.950418,69436.230845,-89.043821,-3057.000000,-378.000000,3080.281318
10609.949693,69382.373971,-89.136305,-3060.000000,-372.000000,3082.528832
10619.948968,69260.475009,-89.030159,-3064.000000,-379.000000,3087.351130
10629.948243,69185.340282,-89.039469,-3068.000000,-383.000000,3091.813869
10639.947519,69302.384280,-89.120506,-3062.000000,-378.000000,3085.243588
10649.946794,69057.149371,-89.085427,-3076.000000,-384.000000,3099.876127
10659.946069,69066.536095,-89.101520,-3073.000000,-381.000000,3096.528702
10669.945344,68911.648338,-89.011959,-3080.000000,-386.000000,3104.093426
10679.944620,68872.502582,-89.054094,-3082.000000,-386.000000,3106.077913
10689.943895,68767.801125,-88.996850,-3087.000000,-389.000000,3111.412862
10699.943170,68728.353246,-89.032223,-3089.000000,-388.000000,3113.272394
10709.942445,68700.483966,-89.054229,-3089.000000,-389.000000,3113.397180
10719.941720,68940.278140,-88.912382,-3080.000000,-396.000000,3105.352798
10729.940996,68685.807482,-89.007186,-3090.000000,-393.000000,3114.891491
10739.940271,68526.858655,-89.086212,-3097.000000,-391.000000,3121.584534
10749.939546,68410.427340,-89.049999,-3102.000000,-395.000000,3127.047969
10759.938821,68473.787324,-89.073533,-3100.000000,-392.000000,3124.686224
10769.938096,68684.203424,-89.095577,-3092.000000,-391.000000,3116.623975
10779.937372,68700.686556,-89.013617,-3090.000000,-396.000000,3115.271417
10789.936647,68346.360724,-89.113541,-3106.000000,-394.000000,3130.889969
10799.935922,68315.046050,-89.196372,-3108.000000,-389.000000,3132.249192
10809.935197,68493.119084,-88.943882,-3094.000000,-405.000000,3120.394366
10819.934472,68397.830749,-89.214350,-3105.000000,-391.000000,3129.521689
10829.933748,68195.695774,-89.038978,-3113.000000,-401.000000,3138.721077
10839.933023,68224.964224,-89.135011,-3113.000000,-397.000000,3138.212549
10849.932298,68051.821008,-89.066404,-3117.000000,-401.000000,3142.688340
10859.931573,68112.848387,-89.276427,-3117.000000,-392.000000,3141.552642
10869.930848,68004.051811,-89.190138,-3120.000000,-398.000000,3145.282817
10879.930124,67783.238066,-89.110045,-3131.000000,-403.000000,3156.829105
10889.929399,67873.518215,-89.192891,-3126.000000,-400.000000,3151.487903
10899.928674,67819.883649,-89.167864,-3129.000000,-401.000000,3154.590623
10909.927949,67602.850929,-89.118153,-3138.000000,-405.000000,3164.027339
10919.927225,67556.146638,-89.155411,-3139.000000,-406.000000,3165.147232
10929.926500,67673.761015,-89.265064,-3135.000000,-400.000000,3160.415321
10939.925775,67620.434323,-89.197773,-3137.000000,-404.000000,3162.907681
10949.925050,67382.317838,-89.241618,-3147.000000,-403.000000,3172.698851
10959.924325,67383.256394,-89.204925,-3146.000000,-405.000000,3171.961696
10969.923601,67225.649724,-89.147729,-3153.000000,-407.000000,3179.159952
10979.922876,67263.901359,-89.310777,-3153.000000,-402.000000,3178.523714
10989.922151,67386.740231,-89.303562,-3150.000000,-401.000000,3175.421389
10999.921426,67225.882218,-89.399974,-3154.000000,-398.000000,3179.012425
11009.920701,67126.933626,-89.604691,-3160.000000,-395.000000,3184.591811
11019.919977,66976.249738,-89.252946,-3164.000000,-409.000000,3190.325532
11029.919252,66889.516824,-89.151690,-3166.000000,-413.000000,3192.823985
11039.918527,66774.458738,-89.475465,-3173.000000,-400.000000,3198.113350
11049.917802,66837.930885,-89.273445,-3170.000000,-408.000000,3196.148307
11059.917077,66714.784029,-89.397173,-3176.000000,-404.000000,3201.592104
11069.916353,66703.615614,-89.360408,-3177.000000,-404.000000,3202.584113
11079.915628,66621.455479,-89.293803,-3179.000000,-411.000000,3205.458158
11089.914903,66496.998463,-89.258782,-3184.000000,-413.000000,3210.673605
