Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
49999.969527,14315.195814,-87.181916,-12286.000000,-8379.000000,14871.228497
50009.968802,14314.619030,-87.246128,-12299.000000,-8369.000000,14876.342360
50019.968078,14310.454541,-87.337925,-12313.000000,-8345.000000,14874.440964
50029.967353,14311.561465,-87.172647,-12294.000000,-8390.000000,14884.036281
50039.966628,14298.970015,-87.234029,-12301.000000,-8377.000000,14882.497438
50049.965903,14292.285762,-87.287617,-12321.000000,-8373.000000,14896.783881
50059.965178,14302.214794,-87.253126,-12301.000000,-8371.000000,14879.121009
50069.964454,14296.328041,-87.233246,-12303.000000,-8382.000000,14886.965205
50079.963729,14300.343364,-87.181139,-12298.000000,-8401.000000,14893.542393
50089.963004,14295.220771,-87.288710,-12308.000000,-8387.000000,14893.912616
50099.962279,14266.386159,-87.300941,-12332.000000,-8388.000000,14914.314198
50109.961554,14282.314419,-87.274050,-12314.000000,-8391.000000,14901.123347
50119.960830,14279.730664,-87.121468,-12294.000000,-8422.000000,14902.097839
50129.960105,14301.497479,-87.145147,-12285.000000,-8411.000000,14888.456804
50139.959380,14270.634990,-87.162539,-12311.000000,-8422.000000,14916.125670
50149.958655,14267.990451,-87.183007,-12313.000000,-8419.000000,14916.082931
50159.957930,14245.056150,-87.153816,-12316.000000,-8425.000000,14921.946287
50169.957206,14260.064501,-87.265241,-12328.000000,-8419.000000,14928.467604
50179.956481,14270.234876,-87.144841,-12302.000000,-8429.000000,14912.653855
50189.955756,14264.186320,-87.313717,-12335.000000,-8403.000000,14925.234806
50199.955031,14268.689103,-87.011175,-12280.000000,-8465.000000,14914.912839
50209.954306,14257.621844,-87.102367,-12303.000000,-8452.000000,14926.490311
50219.953582,14273.878318,-87.026875,-12277.000000,-8475.000000,14918.121665
50229.952857,14267.690894,-86.847673,-12253.000000,-8507.000000,14916.603434
50239.952132,14243.568833,-87.201464,-12323.000000,-8442.000000,14937.325497
50249.951407,14313.644276,-86.438022,-12156.000000,-8567.000000,14871.510515
50259.950683,14297.971059,-86.456415,-12169.000000,-8569.000000,14883.290026
50269.949958,14239.018597,-86.900145,-12282.000000,-8516.000000,14945.560545
50279.949233,14301.927830,-86.423365,-12157.000000,-8580.000000,14879.820194
50289.948508,14300.957768,-86.475645,-12155.000000,-8582.000000,14879.339669
50299.947783,14310.511288,-86.434728,-12151.000000,-8579.000000,14874.341733
50309.947059,14307.668737,-86.464602,-12154.000000,-8584.000000,14879.676475
50319.946334,14315.170417,-86.457185,-12150.000000,-8578.000000,14872.948060
50329.945609,14312.108397,-86.392659,-12146.000000,-8597.000000,14880.649347
50339.944884,14313.492944,-86.457561,-12148.000000,-8582.000000,14873.621886
50349.944159,14293.179257,-86.446412,-12164.000000,-8590.000000,14891.306054
50359.943435,14295.648870,-86.431684,-12156.000000,-8598.000000,14889.390182
50369.942710,14295.437879,-86.425882,-12159.000000,-8593.000000,14888.953288
50379.941985,14301.193180,-86.463113,-12156.000000,-8588.000000,14883.617840
50389.941260,14282.217116,-86.471212,-12167.000000,-8594.000000,14896.064077
50399.940535,14294.028216,-86.479057,-12161.000000,-8592.000000,14890.009570
50409.939811,14291.262499,-86.457531,-12163.000000,-8605.000000,14899.147425
50419.939086,14271.685841,-86.521094,-12173.000000,-8599.000000,14903.849503
50429.938361,14292.679581,-86.487967,-12160.000000,-8594.000000,14890.347075
50439.937636,14274.502948,-86.495217,-12170.000000,-8603.000000,14903.707894
50449.936911,14274.269212,-86.514455,-12169.000000,-8612.000000,14908.088576
50459.936187,14273.287351,-86.492498,-12177.000000,-8608.000000,14912.310116
50469.935462,14278.865994,-86.486354,-12174.000000,-8616.000000,14914.480614
50479.934737,14272.470234,-86.520220,-12172.000000,-8602.000000,14904.763936
50489.934012,14275.272754,-86.514432,-12178.000000,-8612.000000,14915.435897
50499.933288,14262.107745,-86.549927,-12188.000000,-8612.000000,14923.601710
50509.932563,14256.848916,-86.565892,-12192.000000,-8605.000000,14922.831132
50519.931838,14263.656464,-86.554003,-12184.000000,-8610.000000,14919.180809
50529.931113,14247.241685,-86.461664,-12201.000000,-8634.000000,14946.917977
50539.930388,14245.244268,-86.545657,-12195.000000,-8626.000000,14937.399406
50549.929664,14244.162019,-86.519668,-12199.000000,-8626.000000,14940.665213
50559.928939,14243.262619,-86.526424,-12194.000000,-8628.000000,14937.738115
50569.928214,14238.225634,-86.585324,-12200.000000,-8628.000000,14942.636447
50579.927489,14247.775462,-86.596557,-12203.000000,-8627.000000,14944.508624
50589.926764,14246.647473,-86.614761,-12210.000000,-8624.000000,14948.494105
50599.926040,14247.104495,-86.604077,-12208.000000,-8626.000000,14948.014584
50609.925315,14227.597920,-86.576630,-12208.000000,-8633.000000,14952.055143
50619.924590,14244.654222,-86.632561,-12214.000000,-8628.000000,14954.069011
50629.923865,14224.849572,-86.625201,-12220.000000,-8641.000000,14966.471896
50639.923140,14223.628161,-86.591178,-12220.000000,-8636.000000,14963.585667
