Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
39999.975622,18022.118937,-88.719985,-10512.000000,-5392.000000,11814.220584
40009.974897,18027.939129,-88.738289,-10505.000000,-5392.000000,11807.992590
40019.974172,17988.004390,-88.655356,-10505.000000,-5411.000000,11816.680837
40029.973447,18006.502451,-88.707561,-10512.000000,-5404.000000,11819.702196
40039.972723,18022.227655,-88.767271,-10511.000000,-5391.000000,11812.874417
40049.971998,17983.684576,-88.642656,-10522.000000,-5415.000000,11833.626198
40059.971273,17999.979709,-88.748482,-10517.000000,-5401.000000,11822.778438
40069.970548,17964.502892,-88.621993,-10539.000000,-5430.000000,11855.607154
40079.969823,17992.910047,-88.671666,-10514.000000,-5412.000000,11825.140168
40089.969099,17994.586073,-88.708596,-10519.000000,-5410.000000,11828.671143
40099.968374,17965.718026,-88.738719,-10528.000000,-5426.000000,11843.996792
40109.967649,17968.411274,-88.718188,-10530.000000,-5416.000000,11841.197406
40119.966924,17976.430625,-88.683256,-10522.000000,-5420.000000,11835.915005
40129.966199,17955.350749,-88.620289,-10531.000000,-5438.000000,11852.164570
40139.965475,17956.120183,-88.696115,-10535.000000,-5429.000000,11851.593395
40149.964750,17937.975428,-88.695096,-10543.000000,-5432.000000,11860.078963
40159.964025,17922.597825,-88.666362,-10557.000000,-5450.000000,11880.772239
40169.963300,17943.336937,-88.749779,-10537.000000,-5428.000000,11852.913271
40179.962575,17921.121817,-88.671582,-10548.000000,-5444.000000,11870.022746
40189.961851,17927.017806,-88.658811,-10546.000000,-5442.000000,11867.328259
40199.961126,17938.499713,-88.707376,-10541.000000,-5440.000000,11861.967838
40209.960401,17926.925499,-88.687113,-10546.000000,-5442.000000,11867.328259
40219.959676,17909.613529,-88.713300,-10556.000000,-5445.000000,11877.590707
40229.958951,17898.967707,-88.721337,-10568.000000,-5460.000000,11895.134468
40239.958227,17900.462063,-88.699241,-10560.000000,-5453.000000,11884.814218
40249.957502,17880.261188,-88.665240,-10566.000000,-5468.000000,11897.032403
40259.956777,17862.589835,-88.690149,-10571.000000,-5466.000000,11900.554483
40269.956052,17867.744518,-88.736585,-10567.000000,-5461.000000,11894.705125
40279.955328,17897.321241,-88.719715,-10561.000000,-5458.000000,11887.997519
40289.954603,17876.484193,-88.692240,-10568.000000,-5472.000000,11900.647377
40299.953878,17880.292057,-88.716437,-10568.000000,-5469.000000,11899.268255
40309.953153,17855.811350,-88.672723,-10581.000000,-5482.000000,11916.790046
40319.952428,17862.304623,-88.653428,-10578.000000,-5481.000000,11913.666312
40329.951704,17857.299334,-88.653331,-10573.000000,-5485.000000,11911.068550
40339.950979,17842.263406,-88.615707,-10581.000000,-5494.000000,11922.315086
40349.950254,17871.573610,-88.690624,-10568.000000,-5479.000000,11903.867649
40359.949529,17829.857053,-88.651776,-10589.000000,-5499.000000,11931.719155
40369.948804,17830.863621,-88.632058,-10584.000000,-5497.000000,11926.360090
40379.948080,17846.872876,-88.667039,-10583.000000,-5491.000000,11922.708166
40389.947355,17801.063235,-88.653993,-10601.000000,-5510.000000,11947.439098
40399.946630,17814.343104,-88.666521,-10597.000000,-5501.000000,11939.740784
40409.945905,17803.218463,-88.703341,-10599.000000,-5508.000000,11944.742149
40419.945180,17800.927105,-88.622817,-10606.000000,-5516.000000,11954.643115
40429.944456,17824.221622,-88.659212,-10593.000000,-5502.000000,11936.651666
40439.943731,17803.978417,-88.631968,-10605.000000,-5516.000000,11953.755937
40449.943006,17776.238667,-88.684295,-10621.000000,-5528.000000,11973.488422
40459.942281,17809.807303,-88.659579,-10604.000000,-5517.000000,11953.330289
40469.941556,17793.902453,-88.651534,-10610.000000,-5526.000000,11962.808032
40479.940832,17772.814104,-88.617692,-10609.000000,-5528.000000,11962.845188
40489.940107,17771.886295,-88.662743,-10619.000000,-5528.000000,11971.714372
40499.939382,17740.801252,-88.614459,-10633.000000,-5544.000000,11991.523048
40509.938657,17757.713664,-88.616432,-10623.000000,-5541.000000,11981.269131
40519.937932,17775.660328,-88.701447,-10623.000000,-5525.000000,11973.877985
40529.937208,17738.687889,-88.669040,-10634.000000,-5545.000000,11992.872091
40539.936483,17741.528762,-88.722589,-10632.000000,-5542.000000,11989.711756
40549.935758,17796.491812,-88.644226,-10618.000000,-5540.000000,11976.373575
40559.935033,17742.678861,-88.648718,-10635.000000,-5545.000000,11993.758794
40569.934309,17739.329209,-88.616012,-10631.000000,-5560.000000,11997.156371
40579.933584,17750.346219,-88.679850,-10628.000000,-5542.000000,11986.164858
40589.932859,17760.148307,-88.648736,-10619.000000,-5550.000000,11981.888874
40599.932134,17738.897135,-88.663632,-10636.000000,-5546.000000,11995.107836
40609.931409,17747.580273,-88.614759,-10626.000000,-5555.000000,11990.408709
40619.930685,17735.772585,-88.664503,-10635.000000,-5560.000000,12000.701021
40629.929960,17717.020795,-88.642928,-10647.000000,-5562.000000,12012.262610
40639.929235,17717.674334,-88.603339,-10635.000000,-5561.000000,12001.164360
40649.928510,17700.437907,-88.600497,-10650.000000,-5583.000000,12024.657542
40659.927785,17690.602275,-88.649101,-10658.000000,-5577.000000,12028.960595
40669.927061,17725.000655,-88.709997,-10651.000000,-5563.000000,12016.271052
40679.926336,17686.981826,-88.690845,-10664.000000,-5581.000000,12036.131314
40689.925611,17704.829074,-88.670017,-10654.000000,-5574.000000,12024.025615
40699.924886,17688.895821,-88.649135,-10651.000000,-5580.000000,12024.150739
40709.924161,17689.494281,-88.631323,-10657.000000,-5578.000000,12028.538274
40719.923437,17702.326925,-88.650012,-10648.000000,-5589.000000,12025.673578
40729.922712,17667.688590,-88.715396,-10670.000000,-5585.000000,12043.302080
40739.921987,17695.545315,-88.594149,-10652.000000,-5599.000000,12033.864924
40749.921262,17666.486727,-88.614693,-10669.000000,-5599.000000,12048.915387
40759.920537,17670.968231,-88.687688,-10660.000000,-5589.000000,12036.300138
40769.919813,17672.790745,-88.647967,-10663.000000,-5596.000000,12042.208477
40779.919088,17650.220382,-88.578028,-10662.000000,-5608.000000,12046.904499
40789.918363,17677.957683,-88.667414,-10659.000000,-5596.000000,12038.666745
40799.917638,17667.465045,-88.635541,-10665.000000,-5600.000000,12045.838493
40809.916914,17654.716398,-88.630323,-10672.000000,-5613.000000,12058.082476
40819.916189,17657.172102,-88.604650,-10668.000000,-5617.000000,12056.405476
40829.915464,17622.648588,-88.659380,-10689.000000,-5615.000000,12074.060874
40839.914739,17662.174929,-88.662047,-10668.000000,-5602.000000,12049.424385
40849.914014,17638.272633,-88.668966,-10670.000000,-5600.000000,12050.265557
40859.913290,17606.574484,-88.637231,-10699.000000,-5635.000000,12092.221715
40869.912565,17605.896803,-88.662356,-10694.000000,-5625.000000,12083.139534
40879.911840,17609.234045,-88.668806,-10690.000000,-5620.000000,12077.272043
40889.911115,17601.464117,-88.575308,-10688.000000,-5648.000000,12088.558558
40899.910390,17612.637328,-88.647593,-10691.000000,-5631.000000,12083.279439
40909.909666,17583.738539,-88.639757,-10705.000000,-5647.000000,12103.124968
40919.908941,17605.050282,-88.669199,-10695.000000,-5632.000000,12087.284600
40929.908216,17591.295139,-88.642492,-10698.000000,-5644.000000,12095.533887
40939.907491,17605.374012,-88.574335,-10688.000000,-5655.000000,12091.830672
40949.906766,17569.546432,-88.636731,-10708.000000,-5652.000000,12108.111661
40959.906042,17566.579205,-88.694800,-10710.000000,-5650.000000,12108.947105
40969.905317,17564.656719,-88.586294,-10706.000000,-5663.000000,12111.482362
40979.904592,17596.522499,-88.594231,-10690.000000,-5654.000000,12093.130943
40989.903867,17546.028796,-88.731287,-10734.000000,-5658.000000,12133.907862
40999.903142,17596.660900,-88.606536,-10691.000000,-5657.000000,12095.417727
41009.902418,17542.116419,-88.665721,-10722.000000,-5666.000000,12127.029315
41019.901693,17524.534759,-88.701724,-10739.000000,-5665.000000,12141.595694
41029.900968,17574.144453,-88.631128,-10707.000000,-5665.000000,12113.301532
41039.900243,17517.480552,-88.642170,-10732.000000,-5681.000000,12142.882071
41049.899518,17544.693570,-88.587127,-10718.000000,-5680.000000,12130.042209
41059.898794,17539.490550,-88.761129,-10730.000000,-5665.000000,12133.636100
41069.898069,17539.114843,-88.647814,-10722.000000,-5673.000000,12130.301439
41079.897344,17528.863968,-88.617014,-10733.000000,-5693.000000,12149.384264
41089.896619,17504.100361,-88.655286,-10744.000000,-5691.000000,12158.166679
41099.895895,17512.023145,-88.658838,-10734.000000,-5693.000000,12150.267693
41109.895170,17543.885120,-88.610785,-10726.000000,-5684.000000,12138.983977
41119.894445,17511.521843,-88.548464,-10724.000000,-5687.000000,12138.622039
41129.893720,17536.114235,-88.670944,-10726.000000,-5675.000000,12134.772392
41139.892995,17509.274932,-88.713586,-10741.000000,-5689.000000,12154.579466
41149.892271,17477.179226,-88.673033,-10754.000000,-5707.000000,12174.496499
41159.891546,17505.727771,-88.630722,-10735.000000,-5703.000000,12155.839502
41169.890821,17468.204729,-88.637041,-10756.000000,-5714.000000,12179.545640
41179.890096,17492.181899,-88.664602,-10744.000000,-5701.000000,12162.850694
41189.889371,17509.621799,-88.671657,-10734.000000,-5694.000000,12150.736274
41199.888647,17461.264239,-88.604885,-10757.000000,-5725.000000,12185.592887
41209.887922,17465.599515,-88.706173,-10767.000000,-5710.000000,12187.386471
41219.887197,17471.165930,-88.630931,-10756.000000,-5725.000000,12184.710132
41229.886472,17464.990694,-88.652996,-10754.000000,-5720.000000,12180.595880
41239.885747,17441.377192,-88.676171,-10771.000000,-5718.000000,12194.669532
41249.885023,17457.997080,-88.709434,-10764.000000,-5709.000000,12184.267602
41259.884298,17455.437002,-88.614769,-10756.000000,-5733.000000,12188.470987
41269.883573,17451.461976,-88.680286,-10765.000000,-5722.000000,12191.247229
41279.882848,17401.771712,-88.556933,-10781.000000,-5748.000000,12217.588346
41289.882123,17450.423912,-88.664494,-10764.000000,-5728.000000,12193.181701
41299.881399,17467.472374,-88.765968,-10758.000000,-5714.000000,12181.311916
41309.880674,17429.340863,-88.655565,-10776.000000,-5742.000000,12210.353803
41319.879949,17455.287296,-88.622057,-10754.000000,-5737.000000,12188.588310
41329.879224,17431.350772,-88.704885,-10777.000000,-5732.000000,12206.537306
41339.878500,17401.559984,-88.681069,-10793.000000,-5749.000000,12228.648740
41349.877775,17411.110247,-88.637412,-10780.000000,-5754.000000,12219.530106
41359.877050,17396.818046,-88.669956,-10792.000000,-5758.000000,12232.000164
41369.876325,17397.513769,-88.643772,-10789.000000,-5760.000000,12230.295213
41379.875600,17405.634295,-88.688781,-10791.000000,-5757.000000,12230.647162
41389.874876,17388.172788,-88.730673,-10798.000000,-5752.000000,12234.472118
41399.874151,17419.683333,-88.683426,-10779.000000,-5756.000000,12219.589887
41409.873426,17375.491101,-88.642311,-10808.000000,-5765.000000,12249.411782
41419.872701,17395.450756,-88.686039,-10789.000000,-5758.000000,12229.353417
41429.871976,17362.050678,-88.661123,-10799.000000,-5779.000000,12248.070950
41439.871252,17411.644671,-88.707522,-10781.000000,-5754.000000,12220.412309
41449.870527,17349.840435,-88.683674,-10817.000000,-5779.000000,12263.944308
41459.869802,17337.276407,-88.688756,-10828.000000,-5785.000000,12276.473802
41469.869077,17344.126373,-88.654134,-10815.000000,-5781.000000,12263.123012
41479.868352,17297.446266,-88.685532,-10831.000000,-5793.000000,12282.890946
41489.867628,17327.191203,-88.766429,-10831.000000,-5787.000000,12280.062296
41499.866903,17333.822213,-88.682083,-10824.000000,-5790.000000,12275.303499
41509.866178,17316.568791,-88.659543,-10819.000000,-5797.000000,12274.199363
41519.865453,17297.801486,-88.671154,-10840.000000,-5804.000000,12296.016265
41529.864728,17307.147611,-88.653407,-10835.000000,-5807.000000,12293.025421
41539.864004,17310.833384,-88.655178,-10833.000000,-5800.000000,12287.957072
41549.863279,17289.920259,-88.668948,-10842.000000,-5807.000000,12299.195624
41559.862554,17286.647110,-88.706944,-10845.000000,-5809.000000,12302.784482
41569.861829,17265.722357,-88.635230,-10862.000000,-5819.000000,12322.491834
41579.861104,17266.019000,-88.680572,-10858.000000,-5821.000000,12319.910917
41589.860380,17245.247818,-88.676479,-10868.000000,-5826.000000,12331.086732
41599.859655,17269.069148,-88.663451,-10857.000000,-5826.000000,12321.392981
41609.858930,17260.017026,-88.698216,-10858.000000,-5825.000000,12321.801370
41619.858205,17248.218704,-88.642590,-10868.000000,-5837.000000,12336.287651
41629.857481,17257.536063,-88.648630,-10868.000000,-5841.000000,12338.180782
41639.856756,17253.927050,-88.652825,-10860.000000,-5833.000000,12327.347200
41649.856031,17215.313936,-88.644064,-10886.000000,-5856.000000,12361.137974
41659.855306,17245.738008,-88.669464,-10864.000000,-5838.000000,12333.237207
41669.854581,17240.239788,-88.647984,-10868.000000,-5844.000000,12339.601290
41679.853857,17238.934377,-88.669954,-10871.000000,-5843.000000,12341.770132
41689.853132,17235.097064,-88.695615,-10873.000000,-5853.000000,12348.268624
41699.852407,17197.757269,-88.692390,-10891.000000,-5858.000000,12366.488790
41709.851682,17221.520934,-88.654986,-10883.000000,-5860.000000,12360.391944
41719.850957,17209.972353,-88.594031,-10879.000000,-5859.000000,12356.395996
41729.850233,17195.179049,-88.667894,-10890.000000,-5869.000000,12370.822972
41739.849508,17198.855433,-88.645151,-10891.000000,-5864.000000,12369.332116
41749.848783,17197.434322,-88.642793,-10886.000000,-5873.000000,12369.200661
41759.848058,17170.144833,-88.704172,-10904.000000,-5876.000000,12386.468100
41769.847333,17174.962262,-88.619016,-10898.000000,-5877.000000,12381.661157
41779.846609,17185.675474,-88.600092,-10892.000000,-5877.000000,12376.380448
41789.845884,17178.528566,-88.650148,-10896.000000,-5878.000000,12380.375600
41799.845159,17169.458751,-88.612810,-10909.000000,-5883.000000,12394.190978
41809.844434,17167.789617,-88.646024,-10905.000000,-5888.000000,12393.045187
41819.843709,17176.278412,-88.670635,-10905.000000,-5875.000000,12386.874101
41829.842985,17159.232159,-88.679366,-10911.000000,-5890.000000,12399.275019
41839.842260,17148.972497,-88.651649,-10912.000000,-5896.000000,12403.006087
41849.841535,17165.546791,-88.687286,-10905.000000,-5889.000000,12393.520323
41859.840810,17147.111238,-88.645189,-10918.000000,-5898.000000,12409.235593
41869.840086,17153.128652,-88.658532,-10910.000000,-5896.000000,12401.246550
41879.839361,17147.058484,-88.681146,-10916.000000,-5902.000000,12409.377905
41889.838636,17191.944203,-88.687393,-10891.000000,-5880.000000,12376.925345
41899.837911,17138.483161,-88.618452,-10918.000000,-5906.000000,12413.039918
41909.837186,17051.492728,-88.558213,-10970.000000,-5956.000000,12482.581304
41919.836462,17065.481364,-88.620845,-10962.000000,-5939.000000,12467.444205
41929.835737,17084.960490,-88.606342,-10948.000000,-5935.000000,12453.229661
41939.835012,17123.727700,-88.815851,-10944.000000,-5920.000000,12442.569510
41949.834287,17166.472998,-88.670296,-10897.000000,-5900.000000,12391.715337
41959.833562,17198.603499,-88.664926,-10882.000000,-5871.000000,12364.730689
41969.832838,17105.896137,-88.610200,-10935.000000,-5927.000000,12437.988342
41979.832113,17061.023915,-88.563300,-10956.000000,-5957.000000,12470.757194
41989.831388,17095.802636,-88.618018,-10942.000000,-5940.000000,12450.339915
41999.830663,17083.414041,-88.650000,-10945.000000,-5938.000000,12452.022687
42009.829938,17082.638596,-88.653696,-10943.000000,-5943.000000,12452.650240
42019.829214,17091.216342,-88.643991,-10942.000000,-5942.000000,12451.294230
42029.828489,17093.472319,-88.650697,-10944.000000,-5940.000000,12452.097655
42039.827764,17065.404627,-88.638697,-10958.000000,-5952.000000,12470.127024
42049.827039,17079.333323,-88.613990,-10952.000000,-5952.000000,12464.854913
42059.826314,17068.043614,-88.597270,-10952.000000,-5959.000000,12468.198948
42069.825590,17043.692949,-88.628408,-10968.000000,-5967.000000,12486.076766
42079.824865,17061.411528,-88.638781,-10955.000000,-5956.000000,12469.400988
42089.824140,17054.702763,-88.629181,-10961.000000,-5963.000000,12478.016269
42099.823415,17036.598646,-88.614009,-10971.000000,-5975.000000,12492.536412
42109.822690,17049.733287,-88.629211,-10964.000000,-5973.000000,12485.432512
42119.821966,17049.771432,-88.663768,-10962.000000,-5969.000000,12481.762896
42129.821241,17028.964789,-88.605853,-10975.000000,-5982.000000,12499.397946
42139.820516,17059.491815,-88.638431,-10956.000000,-5965.000000,12474.580594
42149.819791,17050.523459,-88.732161,-10960.000000,-5972.000000,12481.441583
42159.819067,17028.569458,-88.655244,-10972.000000,-5978.000000,12494.849659
42169.818342,17050.267899,-88.641015,-10962.000000,-5976.000000,12485.111934
42179.817617,17031.334639,-88.637551,-10971.000000,-5986.000000,12497.801287
42189.816892,17001.284223,-88.650664,-10989.000000,-5994.000000,12517.434122
42199.816167,17009.170342,-88.709116,-10987.000000,-5991.000000,12514.241887
42209.815443,17033.319002,-88.700708,-10976.000000,-5987.000000,12502.669515
42219.814718,17006.720709,-88.642857,-10990.000000,-6002.000000,12522.144545
42229.813993,17015.473861,-88.651816,-10977.000000,-5997.000000,12508.338739
42239.813268,17012.902465,-88.652344,-10987.000000,-5998.000000,12517.594537
42249.812543,17008.934114,-88.632883,-10982.000000,-6003.000000,12515.603581
42259.811819,17026.496654,-88.665923,-10974.000000,-5996.000000,12505.226587
42269.811094,17004.637243,-88.641688,-10983.000000,-6000.000000,12515.042509
42279.810369,16973.527745,-88.652466,-11004.000000,-6020.000000,12543.062465
42289.809644,16984.266840,-88.627947,-10989.000000,-6018.000000,12528.944289
42299.808919,16984.633935,-88.637508,-10998.000000,-6019.000000,12537.318892
42309.808195,16994.678381,-88.633376,-10991.000000,-6019.000000,12531.178795
42319.807470,16987.435697,-88.616702,-10994.000000,-6022.000000,12535.251094
42329.806745,16959.227924,-88.680357,-11005.000000,-6025.000000,12546.340104
42339.806020,16962.176993,-88.648685,-11008.000000,-6033.000000,12552.814545
42349.805295,16970.853976,-88.660731,-11001.000000,-6022.000000,12541.390872
42359.804571,16977.592019,-88.603636,-10999.000000,-6028.000000,12542.519085
42369.803846,16958.277480,-88.605051,-11006.000000,-6040.000000,12554.426948
42379.803121,16958.511365,-88.643529,-11007.000000,-6038.000000,12554.341600
42389.802396,16970.598193,-88.681221,-11003.000000,-6032.000000,12547.949354
42399.801672,16977.363006,-88.619357,-10995.000000,-6036.000000,12542.859363
42409.800947,16988.234695,-88.683620,-11000.000000,-6031.000000,12544.838022
42419.800222,16978.441297,-88.665828,-10999.000000,-6035.000000,12545.884823
42429.799497,16938.835288,-88.679490,-11015.000000,-6049.000000,12566.647365
42439.798772,16928.293662,-88.649076,-11016.000000,-6053.000000,12569.449670
42449.798048,16923.335457,-88.660347,-11023.000000,-6061.000000,12579.437587
42459.797323,16905.211286,-88.649305,-11031.000000,-6064.000000,12587.893271
42469.796598,16916.353043,-88.642983,-11023.000000,-6064.000000,12580.883316
42479.795873,16955.572935,-88.598771,-11015.000000,-6059.000000,12571.463956
42489.795148,16916.705475,-88.672019,-11023.000000,-6061.000000,12579.437587
42499.794424,16910.430787,-88.662225,-11034.000000,-6082.000000,12599.201562
42509.793699,16897.804412,-88.651880,-11033.000000,-6080.000000,12597.360398
42519.792974,16915.112866,-88.633855,-11028.000000,-6083.000000,12594.430237
42529.792249,16904.499382,-88.615929,-11036.000000,-6082.000000,12600.953139
42539.791524,16879.430435,-88.669191,-11044.000000,-6086.000000,12609.890245
42549.790800,16881.209109,-88.633255,-11042.000000,-6084.000000,12607.173355
42559.790075,16894.593286,-88.653028,-11038.000000,-6081.000000,12602.222225
42569.789350,16868.520787,-88.657039,-11047.000000,-6095.000000,12616.863081
42579.788625,16875.503711,-88.609442,-11043.000000,-6099.000000,12615.294289
42589.787900,16865.592365,-88.626987,-11043.000000,-6099.000000,12615.294289
42599.787176,16869.354069,-88.643990,-11045.000000,-6100.000000,12617.528482
42609.786451,16865.291019,-88.637162,-11047.000000,-6100.000000,12619.279258
42619.785726,16860.543542,-88.673522,-11051.000000,-6103.000000,12624.231066
42629.785001,16869.261474,-88.655272,-11046.000000,-6109.000000,12622.757108
42639.784276,16881.923344,-88.631830,-11038.000000,-6109.000000,12615.757013
42649.783552,16880.713018,-88.674615,-11035.000000,-6101.000000,12609.259534
42659.782827,16872.586701,-88.665705,-11045.000000,-6103.000000,12618.979119
42669.782102,16839.679220,-88.612100,-11058.000000,-6128.000000,12642.458147
42679.781377,16855.674618,-88.633456,-11047.000000,-6118.000000,12627.990062
42689.780653,16824.690356,-88.618957,-11063.000000,-6132.000000,12648.770415
42699.779928,16827.852860,-88.651534,-11067.000000,-6133.000000,12652.753771
42709.779203,16808.917315,-88.608400,-11064.000000,-6134.000000,12650.614689
42719.778478,16814.930840,-88.583833,-11060.000000,-6145.000000,12652.455295
42729.777753,16828.806196,-88.600102,-11061.000000,-6137.000000,12649.446233
42739.777029,16825.529573,-88.607366,-11064.000000,-6134.000000,12650.614689
42749.776304,16809.746983,-88.629175,-11071.000000,-6141.000000,12660.131200
42759.775579,16825.541719,-88.657851,-11069.000000,-6141.000000,12658.382282
42769.774854,16827.024287,-88.569874,-11056.000000,-6149.000000,12650.902616
42779.774129,16802.820339,-88.599127,-11075.000000,-6155.000000,12670.424223
42789.773405,16815.652317,-88.625539,-11061.000000,-6145.000000,12653.329443
42799.772680,16788.495425,-88.653833,-11079.000000,-6155.000000,12673.920704
42809.771955,16781.000836,-88.608422,-11082.000000,-6161.000000,12679.457599
42819.771230,16786.355249,-88.656173,-11075.000000,-6158.000000,12671.881826
42829.770505,16804.476084,-88.604224,-11066.000000,-6156.000000,12663.044342
42839.769781,16753.921666,-88.618528,-11101.000000,-6169.000000,12699.951260
42849.769056,16807.658362,-88.651626,-11066.000000,-6154.000000,12662.072184
42859.768331,16794.261411,-88.686700,-11073.000000,-6152.000000,12667.218834
42869.767606,16736.096790,-88.625428,-11102.000000,-6188.000000,12710.064831
42879.766881,16767.783370,-88.639407,-11091.000000,-6171.000000,12692.183500
42889.766157,16774.635365,-88.605350,-11080.000000,-6175.000000,12684.519108
42899.765432,16735.810112,-88.617346,-11107.000000,-6187.000000,12713.945808
42909.764707,16750.940876,-88.571984,-11092.000000,-6193.000000,12703.767669
42919.763982,16749.602986,-88.605825,-11091.000000,-6184.000000,12698.509243
42929.763258,16746.197552,-88.689911,-11102.000000,-6183.000000,12707.631290
42939.762533,16725.596829,-88.633819,-11107.000000,-6193.000000,12716.866674
42949.761808,16695.167584,-88.568702,-11123.000000,-6217.000000,12742.535776
42959.761083,16764.247632,-88.580719,-11084.000000,-6192.000000,12696.295523
42969.760358,16739.322900,-88.616928,-11096.000000,-6194.000000,12707.747715
42979.759634,16688.650753,-88.609485,-11126.000000,-6217.000000,12745.154569
42989.758909,16742.011307,-88.639468,-11102.000000,-6200.000000,12715.911450
42999.758184,16728.556001,-88.602438,-11110.000000,-6201.000000,12723.384023
43009.757459,16725.133117,-88.642070,-11108.000000,-6200.000000,12721.150262
43019.756734,16700.235930,-88.610494,-11121.000000,-6221.000000,12742.742327
43029.756010,16717.860122,-88.613048,-11104.000000,-6211.000000,12723.023894
43039.755285,16683.186180,-88.623225,-11131.000000,-6222.000000,12751.958477
43049.754560,16699.977899,-88.619372,-11122.000000,-6225.000000,12745.568210
43059.753835,16669.183403,-88.644275,-11137.000000,-6223.000000,12757.683881
43069.753110,16685.719155,-88.621615,-11129.000000,-6227.000000,12752.653449
43079.752386,16673.991417,-88.577257,-11132.000000,-6240.000000,12761.623094
43089.751661,16677.597623,-88.603310,-11127.000000,-6225.000000,12749.931529
43099.750936,16694.849333,-88.631766,-11121.000000,-6230.000000,12747.138542
43109.750211,16673.585899,-88.647854,-11137.000000,-6232.000000,12762.076359
43119.749486,16682.849621,-88.628400,-11123.000000,-6235.000000,12751.327539
43129.748762,16653.218527,-88.596546,-11142.000000,-6258.000000,12779.152085
43139.748037,16649.757902,-88.584856,-11146.000000,-6256.000000,12781.660768
43149.747312,16644.067201,-88.611818,-11150.000000,-6250.000000,12782.214206
43159.746587,16645.932056,-88.610481,-11140.000000,-6255.000000,12775.939300
43169.745862,16641.787708,-88.555277,-11151.000000,-6262.000000,12788.957933
43179.745138,16669.505807,-88.665116,-11130.000000,-6244.000000,12761.835134
43189.744413,16640.315549,-88.595983,-11145.000000,-6260.000000,12782.747162
43199.743688,16630.427085,-88.593117,-11154.000000,-6270.000000,12795.492019
43209.742963,16630.945774,-88.565697,-11145.000000,-6275.000000,12790.099687
43219.742239,16625.752422,-88.635631,-11156.000000,-6269.000000,12796.745563
43229.741514,16620.488216,-88.587942,-11163.000000,-6272.000000,12804.317748
43239.740789,16641.779312,-88.544510,-11141.000000,-6278.000000,12788.086839
43249.740064,16624.516389,-88.530870,-11151.000000,-6290.000000,12802.691162
43259.739339,16627.404796,-88.600713,-11151.000000,-6278.000000,12796.799795
43269.738615,16613.166557,-88.513244,-11154.000000,-6292.000000,12806.286737
43279.737890,16588.558874,-88.573909,-11177.000000,-6298.000000,12829.268607
43289.737165,16639.780796,-88.656357,-11157.000000,-6274.000000,12800.067383
43299.736440,16610.271504,-88.562813,-11164.000000,-6292.000000,12814.997464
43309.735715,16588.351458,-88.599940,-11180.000000,-6293.000000,12829.429021
