Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
54999.982104,12978.747698,-86.788460,-12830.000000,-10190.000000,16384.291257
55009.981379,12969.978519,-86.808477,-12835.000000,-10192.000000,16389.450540
55019.980654,12968.407856,-86.834598,-12841.000000,-10191.000000,16393.528052
55029.979929,12972.618630,-86.824296,-12835.000000,-10190.000000,16388.206888
55039.979205,12959.894647,-86.841261,-12847.000000,-10196.000000,16401.336074
55049.978480,12960.094039,-86.821029,-12843.000000,-10204.000000,16403.178503
55059.977755,12949.242380,-86.860934,-12850.000000,-10203.000000,16408.037939
55069.977030,12951.653947,-86.808869,-12849.000000,-10217.000000,16415.964486
55079.976305,12952.754214,-86.835317,-12849.000000,-10210.000000,16411.608727
55089.975581,12955.335483,-86.888738,-12863.000000,-10200.000000,16416.356752
55099.974856,12933.191816,-86.920882,-12873.000000,-10202.000000,16425.435550
55109.974131,12937.187510,-86.949500,-12885.000000,-10193.000000,16429.256648
55119.973406,12903.983836,-86.771361,-12875.000000,-10266.000000,16466.826683
55129.972681,12889.876092,-86.562277,-12859.000000,-10321.000000,16488.690730
55139.971957,12881.938815,-86.539400,-12866.000000,-10340.000000,16506.046044
55149.971232,12873.201636,-86.318945,-12838.000000,-10404.000000,16524.450369
55159.970507,12869.637475,-86.175411,-12805.000000,-10431.000000,16515.864676
55169.969782,12950.017622,-86.582436,-12795.000000,-10279.000000,16412.491158
55179.969057,12961.604329,-86.669658,-12806.000000,-10258.000000,16407.931009
55189.968333,12975.854615,-87.074754,-12861.000000,-10145.000000,16380.669889
55199.967608,12907.739044,-86.523893,-12830.000000,-10326.000000,16469.219046
55209.966883,12940.430551,-86.982596,-12872.000000,-10204.000000,16425.894192
55219.966158,12960.476118,-86.981028,-12848.000000,-10192.000000,16399.633167
55229.965433,12912.266188,-87.226773,-12947.000000,-10175.000000,16466.797928
55239.964709,12953.005945,-87.326028,-12924.000000,-10117.000000,16412.905441
55249.963984,12931.274342,-87.314669,-12947.000000,-10144.000000,16447.660776
55259.963259,12924.917859,-87.213660,-12932.000000,-10168.000000,16450.679256
55269.962534,12901.137725,-87.134893,-12938.000000,-10208.000000,16480.142839
55279.961810,12907.744847,-87.236562,-12946.000000,-10176.000000,16466.629649
55289.961085,12900.115446,-87.148554,-12934.000000,-10209.000000,16477.622310
55299.960360,12900.495879,-87.114974,-12928.000000,-10209.000000,16472.913070
55309.959635,12895.068688,-87.158975,-12934.000000,-10203.000000,16473.905578
55319.958910,12894.231581,-87.160325,-12942.000000,-10211.000000,16485.141340
55329.958186,12900.539597,-87.174864,-12945.000000,-10214.000000,16489.354778
55339.957461,12888.049840,-87.168387,-12942.000000,-10221.000000,16491.337271
55349.956736,12874.582661,-87.194040,-12949.000000,-10229.000000,16501.789055
55359.956011,12872.300808,-87.087384,-12947.000000,-10252.000000,16514.487973
55369.955286,12868.493478,-87.182446,-12964.000000,-10237.000000,16518.518850
55379.954562,12861.190206,-87.193291,-12966.000000,-10240.000000,16521.947706
55389.953837,12864.032325,-87.214247,-12974.000000,-10237.000000,16526.368173
55399.953112,12867.583205,-87.272216,-12966.000000,-10224.000000,16512.035974
55409.952387,12863.657994,-87.196347,-12971.000000,-10245.000000,16528.970506
55419.951662,12849.283913,-87.310738,-12995.000000,-10230.000000,16538.528502
55429.950938,12859.203355,-87.228132,-12981.000000,-10245.000000,16536.819102
55439.950213,12865.654619,-87.505826,-13020.000000,-10184.000000,16529.799031
55449.949488,12847.195423,-87.229111,-12986.000000,-10254.000000,16546.320195
55459.948763,12855.829565,-87.434662,-13003.000000,-10200.000000,16526.282371
55469.948038,12839.255070,-87.254008,-12991.000000,-10258.000000,16552.723190
55479.947314,12844.124996,-87.444699,-13009.000000,-10214.000000,16539.645613
55489.946589,12839.066974,-87.402177,-13021.000000,-10232.000000,16560.201237
55499.945864,12825.826430,-87.313024,-13015.000000,-10259.000000,16572.184708
55509.945139,12835.629004,-87.379806,-13017.000000,-10236.000000,16559.528526
55519.944414,12813.998942,-87.367803,-13022.000000,-10259.000000,16577.682739
55529.943690,12832.789715,-87.444693,-13020.000000,-10234.000000,16560.650833
55539.942965,12827.490461,-87.298245,-13003.000000,-10268.000000,16568.338269
55549.942240,12817.206829,-87.451127,-13015.000000,-10244.000000,16562.903157
55559.941515,12820.447426,-87.230573,-12998.000000,-10289.000000,16577.440243
55569.940791,12798.069977,-87.367554,-13049.000000,-10276.000000,16609.412301
55579.940066,12833.387610,-87.336250,-13004.000000,-10251.000000,16558.593449
55589.939341,12810.083783,-87.359580,-13024.000000,-10275.000000,16589.159141
55599.938616,12820.481838,-87.330201,-13008.000000,-10277.000000,16577.840420
55609.937891,12821.175909,-87.439279,-13027.000000,-10248.000000,16574.807178
55619.937167,12814.576112,-87.414848,-13033.000000,-10259.000000,16586.324789
55629.936442,12830.933214,-87.657040,-13048.000000,-10205.000000,16564.791849
55639.935717,12807.922795,-87.417041,-13029.000000,-10267.000000,16588.132203
55649.934992,12809.550757,-87.503546,-13050.000000,-10250.000000,16594.125467
55659.934267,12801.838534,-87.428947,-13048.000000,-10277.000000,16609.245407
55669.933543,12775.827902,-87.201016,-13030.000000,-10346.000000,16637.927034
55679.932818,12786.594253,-87.479831,-13058.000000,-10277.000000,16617.102425
55689.932093,12799.522995,-87.336048,-13026.000000,-10307.000000,16610.566667
55699.931368,12790.412621,-87.487574,-13059.000000,-10276.000000,16617.269842
55709.930643,12772.287485,-87.479945,-13076.000000,-10296.000000,16642.998288
55719.929919,12784.111707,-87.501826,-13064.000000,-10285.000000,16626.765200
55729.929194,12782.787183,-87.497000,-13068.000000,-10291.000000,16633.619720
55739.928469,12766.318803,-87.357207,-13056.000000,-10336.000000,16652.087917
55749.927744,12777.396146,-87.552650,-13076.000000,-10286.000000,16636.813757
55759.927019,12778.703107,-87.433922,-13061.000000,-10305.000000,16636.788933
55769.926295,12768.279505,-87.620547,-13094.000000,-10274.000000,16643.554668
55779.925570,12771.958337,-87.416228,-13046.000000,-10321.000000,16634.937842
55789.924845,12776.376025,-87.505893,-13072.000000,-10305.000000,16645.426068
55799.924120,12776.316436,-87.668206,-13094.000000,-10264.000000,16637.383568
55809.923396,12761.143069,-87.396383,-13060.000000,-10353.000000,16665.779580
55819.922671,12767.296148,-87.397020,-13058.000000,-10337.000000,16654.276718
55829.921946,12764.808100,-87.327669,-13044.000000,-10362.000000,16658.840896
55839.921221,12774.756933,-87.539518,-13065.000000,-10298.000000,16635.595240
55849.920496,12765.840332,-87.554351,-13080.000000,-10313.000000,16656.661400
55859.919772,12740.281560,-87.330193,-13055.000000,-10377.000000,16676.784882
55869.919047,12742.164888,-87.507409,-13100.000000,-10332.000000,16684.130903
55879.918322,12742.845862,-87.422729,-13080.000000,-10358.000000,16684.560647
55889.917597,12723.217191,-87.467241,-13097.000000,-10367.000000,16703.475626
55899.916872,12756.337199,-87.388687,-13056.000000,-10362.000000,16668.238659
55909.916148,12757.453656,-87.555679,-13085.000000,-10323.000000,16666.779953
55919.915423,12755.017143,-87.441584,-13089.000000,-10352.000000,16687.894565
55929.914698,12736.112173,-87.299226,-13057.000000,-10395.000000,16689.555836
55939.913973,12732.595688,-87.174387,-13030.000000,-10437.000000,16694.665885
55949.913248,12743.393175,-87.391134,-13062.000000,-10379.000000,16683.509373
55959.912524,12731.178176,-87.447177,-13081.000000,-10376.000000,16696.524698
55969.911799,12709.798023,-87.257790,-13064.000000,-10455.000000,16732.457112
55979.911074,12729.529659,-87.467692,-13101.000000,-10377.000000,16712.819331
55989.910349,12714.679104,-87.353849,-13077.000000,-10418.000000,16719.529090
55999.909624,12719.296410,-87.385480,-13078.000000,-10407.000000,16713.459636
56009.908900,12722.997865,-87.506607,-13096.000000,-10380.000000,16710.763477
56019.908175,12701.767186,-87.107340,-13049.000000,-10485.000000,16739.522873
56029.907450,12718.223134,-87.105988,-13035.000000,-10483.000000,16727.358249
56039.906725,12725.423648,-87.655637,-13120.000000,-10355.000000,16714.078646
56049.906000,12705.366708,-87.313606,-13068.000000,-10438.000000,16724.965411
56059.905276,12673.374582,-87.079561,-13057.000000,-10540.000000,16780.251756
56069.904551,12681.944060,-87.172995,-13062.000000,-10504.000000,16761.558997
56079.903826,12709.122256,-86.810600,-12979.000000,-10557.000000,16730.352357
56089.903101,12711.458676,-87.224025,-13041.000000,-10468.000000,16722.640491
56099.902377,12685.187594,-87.167205,-13065.000000,-10503.000000,16763.270385
56109.901652,12723.617473,-87.345373,-13051.000000,-10423.000000,16702.321096
56119.900927,12711.712835,-87.210714,-13042.000000,-10471.000000,16725.298353
56129.900202,12660.317029,-86.999749,-13030.000000,-10564.000000,16774.355308
56139.899477,12709.674300,-87.319979,-13060.000000,-10455.000000,16729.334266
56149.898753,12657.531825,-87.192830,-13076.000000,-10519.000000,16781.869294
56159.898028,12650.621726,-86.970311,-13049.000000,-10587.000000,16803.599912
56169.897303,12679.039169,-86.827041,-12997.000000,-10596.000000,16768.936311
56179.896578,12669.238063,-87.080809,-13050.000000,-10550.000000,16781.090549
56189.895853,12687.409151,-87.258275,-13060.000000,-10498.000000,16756.240748
56199.895129,12704.789095,-87.240271,-13042.000000,-10499.000000,16742.842202
56209.894404,12653.410865,-87.066576,-13052.000000,-10577.000000,16799.631930
56219.893679,12674.547988,-87.219384,-13070.000000,-10514.000000,16774.060212
56229.892954,12646.177937,-87.202072,-13085.000000,-10541.000000,16802.675561
56239.892229,12654.471221,-86.828677,-13011.000000,-10623.000000,16796.852384
56249.891505,12661.723843,-87.123903,-13054.000000,-10557.000000,16788.602235
56259.890780,12638.246530,-86.993776,-13054.000000,-10610.000000,16821.980145
56269.890055,12642.868999,-86.987646,-13052.000000,-10604.000000,16816.644136
56279.889330,12641.020455,-87.073610,-13062.000000,-10593.000000,16817.475821
56289.888605,12631.165572,-86.952163,-13054.000000,-10618.000000,16827.027070
56299.887881,12659.223460,-87.302437,-13082.000000,-10518.000000,16785.918146
56309.887156,12630.340374,-86.972068,-13047.000000,-10621.000000,16823.491017
56319.886431,12651.561476,-87.125311,-13064.000000,-10580.000000,16810.844595
56329.885706,12656.332348,-87.333106,-13097.000000,-10536.000000,16808.887679
56339.884982,12617.877342,-87.124332,-13084.000000,-10604.000000,16841.492570
56349.884257,12614.346079,-86.832202,-13033.000000,-10681.000000,16850.603847
56359.883532,12625.733110,-86.812148,-13014.000000,-10672.000000,16830.204396
56369.882807,12621.989313,-87.319592,-13108.000000,-10563.000000,16834.388406
56379.882082,12624.554143,-87.136723,-13079.000000,-10603.000000,16836.978648
56389.881358,12618.640232,-87.288456,-13113.000000,-10577.000000,16847.067935
56399.880633,12618.161234,-87.233039,-13096.000000,-10586.000000,16839.495598
56409.879908,12607.563388,-86.794399,-13022.000000,-10691.000000,16848.441026
56419.879183,12607.891259,-86.728080,-13013.000000,-10706.000000,16851.011987
56429.878458,12612.180785,-87.135636,-13084.000000,-10617.000000,16849.680858
56439.877734,12612.820973,-87.064275,-13066.000000,-10640.000000,16850.221245
56449.877009,12613.616284,-86.952990,-13049.000000,-10650.000000,16843.363708
56459.876284,12601.850968,-86.840722,-13032.000000,-10700.000000,16861.880797
56469.875559,12596.408469,-87.103785,-13079.000000,-10648.000000,16865.353391
56479.874834,12604.834256,-87.033941,-13061.000000,-10657.000000,16857.086640
56489.874110,12606.720105,-86.984270,-13050.000000,-10663.000000,16852.360933
56499.873385,12615.303258,-87.012775,-13057.000000,-10661.000000,16856.517137
56509.872660,12583.291260,-86.841237,-13048.000000,-10708.000000,16879.323683
56519.871935,12575.381247,-86.876926,-13066.000000,-10718.000000,16899.582243
56529.871210,12598.629689,-87.053704,-13067.000000,-10665.000000,16866.793234
56539.870486,12592.977315,-87.107706,-13079.000000,-10661.000000,16873.563998
56549.869761,12572.585077,-87.101011,-13107.000000,-10669.000000,16900.325737
56559.869036,12571.482694,-86.653365,-13020.000000,-10783.000000,16905.427797
56569.868311,12564.528931,-86.860157,-13059.000000,-10734.000000,16904.325985
56579.867586,12552.185191,-86.910855,-13077.000000,-10744.000000,16924.581679
