Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
24999.969140,730.356847,-89.492239,-12827.000000,-3875.000000,13399.535589
25009.968415,730.172538,-89.483265,-12831.000000,-3878.000000,13404.232354
25019.967690,730.789058,-89.472887,-12814.000000,-3877.000000,13387.670634
25029.966965,730.172368,-89.476248,-12825.000000,-3885.000000,13400.516781
25039.966241,729.551242,-89.501646,-12839.000000,-3884.000000,13413.626542
25049.965516,729.516179,-89.466890,-12840.000000,-3892.000000,13416.902176
25059.964791,729.403403,-89.479875,-12836.000000,-3891.000000,13412.784088
25069.964066,728.403040,-89.503800,-12858.000000,-3891.000000,13433.839548
25079.963341,728.091821,-89.471654,-12860.000000,-3893.000000,13436.333168
25089.962617,728.217416,-89.505905,-12860.000000,-3897.000000,13437.492660
25099.961892,727.932528,-89.473906,-12867.000000,-3903.000000,13445.932396
25109.961167,727.648761,-89.480052,-12871.000000,-3910.000000,13451.793226
25119.960442,726.884984,-89.459231,-12879.000000,-3916.000000,13461.192258
25129.959717,726.867411,-89.504647,-12881.000000,-3910.000000,13461.361781
25139.958993,727.413722,-89.503367,-12874.000000,-3906.000000,13453.501849
25149.958268,726.663383,-89.475109,-12884.000000,-3915.000000,13465.685315
25159.957543,725.982949,-89.513759,-12900.000000,-3921.000000,13482.738631
25169.956818,726.493649,-89.490316,-12888.000000,-3918.000000,13470.384850
25179.956093,725.728667,-89.523062,-12901.000000,-3923.000000,13484.277140
25189.955369,725.534394,-89.536556,-12904.000000,-3921.000000,13486.565797
25199.954644,725.148285,-89.459863,-12907.000000,-3939.000000,13494.679322
25209.953919,724.886463,-89.511002,-12911.000000,-3933.000000,13496.755536
25219.953194,724.207032,-89.494637,-12922.000000,-3939.000000,13509.026797
25229.952469,724.252725,-89.510318,-12925.000000,-3938.000000,13511.604975
25239.951745,723.527809,-89.518728,-12933.000000,-3940.000000,13519.840569
25249.951020,723.350821,-89.491059,-12937.000000,-3950.000000,13526.583789
25259.950295,723.150585,-89.482619,-12940.000000,-3953.000000,13530.329227
25269.949570,723.285425,-89.512753,-12941.000000,-3951.000000,13530.701460
25279.948846,722.414576,-89.471788,-12951.000000,-3965.000000,13544.357718
25289.948121,722.292064,-89.469317,-12953.000000,-3969.000000,13547.441456
25299.947396,722.919932,-89.476303,-12945.000000,-3964.000000,13538.327851
25309.946671,721.866483,-89.508847,-12962.000000,-3961.000000,13553.706689
25319.945946,722.058860,-89.518658,-12955.000000,-3966.000000,13548.475228
25329.945222,721.213289,-89.489304,-12971.000000,-3969.000000,13564.652668
25339.944497,721.431808,-89.524097,-12968.000000,-3971.000000,13562.369446
25349.943772,720.594637,-89.507711,-12982.000000,-3971.000000,13575.756517
25359.943047,720.593993,-89.479981,-12980.000000,-3987.000000,13578.533389
