44999.988198,484.757964,-73.189895,-13832.000000,-14611.000000,20119.779944
45009.987473,484.889875,-73.164162,-13827.000000,-14617.000000,20120.701230
45019.986749,484.883523,-73.119577,-13817.000000,-14624.000000,20118.918087
45029.986024,484.660334,-73.105427,-13817.000000,-14629.000000,20122.552770
45039.985299,484.728945,-73.044099,-13795.000000,-14649.000000,20122.008498
45049.984574,484.972760,-73.022187,-13784.000000,-14656.000000,20119.567391
45059.983850,485.229963,-72.936339,-13767.000000,-14664.000000,20113.756114
45069.983125,484.654192,-72.956688,-13769.000000,-14677.000000,20124.604095
45079.982400,484.895504,-72.924270,-13754.000000,-14684.000000,20119.452577
45089.981675,484.704671,-72.941010,-13759.000000,-14680.000000,20119.952311
45099.980950,484.736952,-72.876844,-13743.000000,-14697.000000,20121.427832
45109.980226,484.805355,-72.834580,-13729.000000,-14709.000000,20120.639205
45119.979501,484.859771,-72.816425,-13719.000000,-14717.000000,20119.668238
45129.978776,484.831739,-72.792244,-13711.000000,-14725.000000,20120.068240
45139.978051,484.947127,-72.746698,-13698.000000,-14733.000000,20117.069692
45149.977326,484.860383,-72.738560,-13697.000000,-14735.000000,20117.853613
45159.976602,484.878014,-72.679074,-13678.000000,-14752.000000,20117.385218
45169.975877,484.914505,-72.649015,-13668.000000,-14762.000000,20117.924048
45179.975152,484.898225,-72.617682,-13661.000000,-14768.000000,20117.573040
45189.974427,484.872531,-72.615529,-13656.000000,-14772.000000,20117.115101
45199.973702,484.703376,-72.577431,-13647.000000,-14785.000000,20120.557497
45209.972978,484.763420,-72.519050,-13629.000000,-14801.000000,20120.120328
45219.972253,484.769853,-72.515208,-13624.000000,-14807.000000,20121.148700
45229.971528,484.784250,-72.473157,-13612.000000,-14812.000000,20116.706689
45239.970803,484.747520,-72.447855,-13604.000000,-14827.000000,20122.344421
45249.970078,484.753172,-72.425028,-13594.000000,-14831.000000,20118.533669
45259.969354,484.863934,-72.404794,-13587.000000,-14835.000000,20116.754062
45269.968629,484.804259,-72.363461,-13576.000000,-14846.000000,20117.442482
45279.967904,484.886714,-72.332606,-13569.000000,-14854.000000,20118.625127
