Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
14999.975234,48850.765164,-89.397270,-9321.000000,-1600.000000,9457.327371
15009.974509,48666.855105,-89.464864,-9361.000000,-1596.000000,9496.080086
15019.973785,48700.552509,-89.433228,-9344.000000,-1599.000000,9479.827899
15029.973060,48616.444185,-89.401481,-9367.000000,-1608.000000,9504.017729
15039.972335,48749.977873,-89.355179,-9340.000000,-1615.000000,9478.598261
15049.971610,48598.956621,-89.385880,-9367.000000,-1614.000000,9505.034719
15059.970886,48555.402711,-89.265432,-9370.000000,-1639.000000,9512.266870
15069.970161,48521.540880,-89.425073,-9383.000000,-1615.000000,9520.972324
15079.969436,48626.026047,-89.361537,-9363.000000,-1620.000000,9502.113923
15089.968711,48609.081230,-89.248135,-9363.000000,-1642.000000,9505.889385
15099.967986,48489.837996,-89.418817,-9387.000000,-1619.000000,9525.593420
15109.967262,48305.577131,-89.461952,-9424.000000,-1621.000000,9562.395986
15119.966537,48418.297996,-89.390258,-9401.000000,-1629.000000,9541.092285
15129.965812,48398.474661,-89.395091,-9406.000000,-1625.000000,9545.337134
15139.965087,48331.929629,-89.468461,-9420.000000,-1621.000000,9558.453902
15149.964362,48326.286169,-89.390059,-9414.000000,-1635.000000,9554.926530
15159.963638,48477.012892,-89.334499,-9387.000000,-1641.000000,9529.357271
15169.962913,48250.169409,-89.466175,-9431.000000,-1627.000000,9570.312952
15179.962188,48472.204535,-89.335170,-9386.000000,-1642.000000,9528.544485
15189.961463,48235.610734,-89.335029,-9432.000000,-1653.000000,9575.752346
15199.960738,48365.246479,-89.240354,-9402.000000,-1667.000000,9548.638280
15209.960014,48329.868522,-89.242121,-9408.000000,-1665.000000,9554.197455
15219.959289,48113.288786,-89.505755,-9456.000000,-1628.000000,9595.119593
15229.958564,47959.615823,-89.361490,-9486.000000,-1664.000000,9630.840669
15239.957839,48203.787904,-89.432032,-9440.000000,-1642.000000,9581.741178
15249.957114,47983.530608,-89.349727,-9476.000000,-1668.000000,9621.683844
15259.956390,48075.092946,-89.319260,-9462.000000,-1666.000000,9607.549115
15269.955665,47980.881948,-89.471292,-9482.000000,-1648.000000,9624.148170
15279.954940,47701.073827,-89.589590,-9543.000000,-1637.000000,9682.386999
15289.954215,47926.028339,-89.337724,-9488.000000,-1672.000000,9634.195763
15299.953490,47757.533168,-89.288855,-9521.000000,-1688.000000,9669.476977
15309.952766,47697.437662,-89.355523,-9532.000000,-1679.000000,9678.742945
15319.952041,47874.662303,-89.366068,-9497.000000,-1673.000000,9643.232757
15329.951316,47636.088336,-89.416402,-9548.000000,-1674.000000,9693.636057
15339.950591,47614.236959,-89.402815,-9550.000000,-1678.000000,9696.297438
15349.949867,47657.461948,-89.357559,-9540.000000,-1685.000000,9687.663547
15359.949142,47678.716278,-89.196870,-9531.000000,-1710.000000,9683.184445
15369.948417,47601.615025,-89.453255,-9553.000000,-1672.000000,9698.215970
15379.947692,47514.789882,-89.471491,-9570.000000,-1672.000000,9714.961863
15389.946967,47501.507542,-89.551962,-9575.000000,-1661.000000,9718.001132
15399.946243,47414.799816,-89.432770,-9591.000000,-1685.000000,9737.890223
15409.945518,47420.769000,-89.371685,-9587.000000,-1695.000000,9735.686622
15419.944793,47513.974321,-89.465380,-9567.000000,-1675.000000,9712.523565
15429.944068,47419.658219,-89.467208,-9589.000000,-1684.000000,9735.747378
15439.943343,47268.102670,-89.374147,-9615.000000,-1705.000000,9765.001280
15449.942619,47231.511098,-89.393894,-9624.000000,-1706.000000,9774.037651
15459.941894,47177.123523,-89.423675,-9639.000000,-1700.000000,9787.763841
15469.941169,47322.476543,-89.410265,-9607.000000,-1698.000000,9755.903495
15479.940444,47170.838690,-89.448671,-9640.000000,-1699.000000,9788.575024
15489.939719,47178.210854,-89.364059,-9638.000000,-1710.000000,9788.521032
15499.938995,47282.575582,-89.239955,-9610.000000,-1729.000000,9764.299309
15509.938270,47148.232941,-89.429515,-9642.000000,-1709.000000,9792.284973
15519.937545,47138.328524,-89.360552,-9644.000000,-1717.000000,9795.653373
15529.936820,46988.326606,-89.369133,-9672.000000,-1725.000000,9824.622588
15539.936095,47078.512428,-89.319991,-9654.000000,-1729.000000,9807.607099
15549.935371,47028.329120,-89.277340,-9660.000000,-1739.000000,9815.279976
15559.934646,47112.583756,-89.354012,-9647.000000,-1726.000000,9800.188008
15569.933921,47056.343359,-89.271309,-9656.000000,-1744.000000,9812.230735
15579.933196,46857.662820,-89.403533,-9701.000000,-1725.000000,9853.173397
15589.932472,46863.454079,-89.378584,-9697.000000,-1733.000000,9850.639472
15599.931747,46766.785798,-89.376285,-9720.000000,-1736.000000,9873.808586
15609.931022,46878.898746,-89.452069,-9696.000000,-1722.000000,9847.725626
15619.930297,46785.343113,-89.242229,-9708.000000,-1761.000000,9866.427165
15629.929572,47017.500855,-89.339056,-9665.000000,-1737.000000,9819.846944
15639.928848,46888.634229,-89.255018,-9690.000000,-1756.000000,9847.823922
15649.928123,46826.877794,-89.362934,-9701.000000,-1745.000000,9856.694476
15659.927398,46781.394135,-89.314477,-9717.000000,-1754.000000,9874.036915
15669.926673,46678.647086,-89.336900,-9733.000000,-1757.000000,9890.315364
15679.925948,46500.201615,-89.358714,-9769.000000,-1760.000000,9926.276291
15689.925224,46503.815388,-89.416809,-9771.000000,-1753.000000,9927.006094
15699.924499,46422.213984,-89.475797,-9791.000000,-1745.000000,9945.285617
15709.923774,46673.929702,-89.208709,-9732.000000,-1782.000000,9893.803515
15719.923049,46550.896988,-89.347820,-9760.000000,-1764.000000,9918.129662
15729.922324,46337.170270,-89.413138,-9807.000000,-1764.000000,9964.383824
15739.921600,46575.500875,-89.289565,-9752.000000,-1776.000000,9912.400315
15749.920875,46388.752035,-89.442818,-9798.000000,-1759.000000,9954.641380
15759.920150,46359.825489,-89.308937,-9801.000000,-1782.000000,9961.682840
15769.919425,46295.098826,-89.481320,-9820.000000,-1758.000000,9976.119687
15779.918700,46348.337862,-89.364358,-9800.000000,-1780.000000,9960.341360
15789.917976,46355.760306,-89.251479,-9798.000000,-1795.000000,9961.065656
15799.917251,46231.218704,-89.338003,-9823.000000,-1788.000000,9984.401484
