Frequency,Impedance,Phase,Real,Imaginary,Magnitutude
29999.981716,25762.989479,-84.992184,-16340.000000,-7303.000000,17897.748713
30009.980991,25760.190609,-84.970422,-16339.000000,-7310.000000,17899.693321
30019.980267,25761.966599,-84.917698,-16329.000000,-7328.000000,17897.927953
30029.979542,25751.372425,-84.966844,-16342.000000,-7317.000000,17905.291201
30039.978817,25750.606387,-84.945685,-16337.000000,-7334.000000,17907.683407
30049.978092,25749.021162,-84.927502,-16336.000000,-7336.000000,17907.590346
30059.977368,25743.451059,-84.942878,-16343.000000,-7337.000000,17914.385783
30069.976643,25729.096109,-84.967871,-16352.000000,-7330.000000,17919.732252
30079.975918,25720.957694,-84.911735,-16348.000000,-7350.000000,17924.274155
30089.975193,25719.733127,-84.908196,-16348.000000,-7355.000000,17926.325028
30099.974468,25707.313087,-84.947660,-16354.000000,-7343.000000,17926.878284
30109.973744,25708.351141,-84.953934,-16355.000000,-7352.000000,17931.478718
30119.973019,25697.747378,-84.948236,-16363.000000,-7355.000000,17940.005407
30129.972294,25698.402386,-84.927019,-16365.000000,-7365.000000,17945.931294
30139.971569,25713.029130,-84.912789,-16359.000000,-7369.000000,17942.102497
30149.970844,25691.491443,-84.897809,-16362.000000,-7375.000000,17947.302555
30159.970120,25681.784897,-84.920946,-16371.000000,-7373.000000,17954.686575
30169.969395,25688.277016,-84.937572,-16372.000000,-7374.000000,17956.009022
30179.968670,25673.913973,-84.924687,-16378.000000,-7378.000000,17963.122446
30189.967945,25663.854164,-84.935372,-16380.000000,-7381.000000,17966.178252
30199.967220,25663.834205,-84.914305,-16373.000000,-7394.000000,17965.143055
30209.966496,25653.750034,-84.935530,-16384.000000,-7391.000000,17973.934934
30219.965771,25662.179436,-84.917016,-16389.000000,-7395.000000,17980.137541
30229.965046,25636.440156,-84.940056,-16395.000000,-7402.000000,17988.486012
30239.964321,25628.504377,-84.944610,-16399.000000,-7401.000000,17991.720374
30249.963596,25632.108496,-85.010238,-16405.000000,-7383.000000,17989.794718
30259.962872,25614.675381,-84.964789,-16411.000000,-7414.000000,18008.007025
30269.962147,25612.072960,-84.944254,-16407.000000,-7413.000000,18003.950067
30279.961422,25601.739423,-84.952404,-16415.000000,-7410.000000,18010.006247
30289.960697,25601.300776,-84.946397,-16418.000000,-7414.000000,18014.386473
30299.959973,25591.163881,-84.964229,-16421.000000,-7415.000000,18017.532184
30309.959248,25592.799098,-84.943936,-16417.000000,-7424.000000,18017.593208
30319.958523,25577.121302,-84.969087,-16430.000000,-7425.000000,18029.850942
30329.957798,25566.081104,-84.941375,-16430.000000,-7434.000000,18033.559161
30339.957073,25561.653045,-84.959224,-16435.000000,-7432.000000,18037.290512
30349.956349,25567.927451,-84.964457,-16431.000000,-7436.000000,18035.294758
30359.955624,25557.075364,-84.973685,-16443.000000,-7435.000000,18045.815969
30369.954899,25544.606908,-85.005496,-16453.000000,-7433.000000,18054.104741
30379.954174,25542.880888,-84.935287,-16441.000000,-7457.000000,18053.069822
30389.953449,25552.087415,-85.016544,-16443.000000,-7440.000000,18047.876579
30399.952725,25532.335250,-84.959948,-16451.000000,-7453.000000,18060.526294
30409.952000,25513.116646,-85.000459,-16461.000000,-7450.000000,18068.398407
30419.951275,25507.547034,-84.974148,-16467.000000,-7456.000000,18076.338816
30429.950550,25498.141647,-85.009256,-16477.000000,-7456.000000,18085.448985
30439.949825,25505.754423,-84.963808,-16468.000000,-7467.000000,18081.789541
30449.949101,25492.064428,-84.996917,-16479.000000,-7465.000000,18090.983003
30459.948376,25481.890041,-85.015458,-16484.000000,-7466.000000,18095.950155
30469.947651,25467.862015,-85.012378,-16491.000000,-7469.000000,18103.564345
30479.946926,25458.688640,-84.959198,-16490.000000,-7487.000000,18110.087493
30489.946201,25456.454913,-85.044964,-16500.000000,-7472.000000,18113.000414
30499.945477,25446.481437,-85.032496,-16507.000000,-7475.000000,18120.614614
30509.944752,25445.648631,-85.035706,-16511.000000,-7482.000000,18127.146632
30519.944027,25425.941473,-85.054152,-16519.000000,-7480.000000,18133.608604
30529.943302,25425.470873,-85.046597,-16518.000000,-7486.000000,18135.173559
30539.942577,25445.176076,-84.996342,-16504.000000,-7497.000000,18126.969548
30549.941853,25402.315022,-85.073150,-16533.000000,-7483.000000,18147.599786
30559.941128,25402.818744,-85.070456,-16530.000000,-7489.000000,18147.341982
30569.940403,25377.806940,-85.074687,-16545.000000,-7495.000000,18163.481219
30579.939678,25396.168357,-85.066335,-16537.000000,-7498.000000,18157.432996
30589.938954,25372.516017,-85.077218,-16554.000000,-7500.000000,18173.742487
30599.938229,25372.662314,-85.095682,-16554.000000,-7500.000000,18173.742487
30609.937504,25355.921873,-85.056909,-16558.000000,-7516.000000,18183.993511
30619.936779,25361.114841,-85.110440,-16565.000000,-7503.000000,18185.000247
30629.936054,25351.068166,-85.079512,-16572.000000,-7506.000000,18192.614436
30639.935330,25344.717081,-85.095013,-16570.000000,-7512.000000,18193.269195
30649.934605,25342.480507,-85.096274,-16573.000000,-7518.000000,18198.479415
30659.933880,25333.320259,-85.143410,-16579.000000,-7514.000000,18202.292081
30669.933155,25309.843270,-85.162142,-16599.000000,-7512.000000,18219.685645
30679.932430,25309.423424,-85.143711,-16593.000000,-7519.000000,18217.107619
30689.931706,25294.883412,-85.109247,-16596.000000,-7535.000000,18226.448941
30699.930981,25295.959510,-85.140840,-16605.000000,-7526.000000,18230.927047
30709.930256,25272.676589,-85.145805,-16612.000000,-7527.000000,18237.715674
30719.929531,25252.753840,-85.188922,-16632.000000,-7528.000000,18256.347061
30729.928806,25269.049643,-85.145724,-16621.000000,-7538.000000,18250.454378
30739.928082,25252.424108,-85.145054,-16630.000000,-7543.000000,18260.716005
30749.927357,25236.789961,-85.169851,-16638.000000,-7540.000000,18266.763370
30759.926632,25236.777496,-85.192022,-16642.000000,-7543.000000,18271.645055
30769.925907,25239.491745,-85.163631,-16636.000000,-7556.000000,18271.552534
30779.925182,25215.755282,-85.203916,-16661.000000,-7548.000000,18291.014871
30789.924458,25199.596761,-85.237093,-16668.000000,-7550.000000,18298.216416
30799.923733,25190.968385,-85.061753,-16651.000000,-7598.000000,18302.606508
30809.923008,25205.338134,-85.099415,-16644.000000,-7590.000000,18292.917646
30819.922283,25212.538012,-85.470182,-16688.000000,-7480.000000,18287.693786
30829.921558,25163.455947,-85.691810,-16753.000000,-7432.000000,18327.510278
30839.920834,25167.878252,-85.659490,-16744.000000,-7440.000000,18322.530830
30849.920109,25092.579428,-85.147294,-16725.000000,-7612.000000,18375.749481
30859.919384,25152.717391,-84.928467,-16652.000000,-7659.000000,18328.922091
30869.918659,25148.293127,-85.095596,-16673.000000,-7617.000000,18330.510577
30879.917935,25140.228132,-85.306554,-16708.000000,-7560.000000,18338.780330
30889.917210,25110.399360,-85.339293,-16730.000000,-7563.000000,18360.061792
30899.916485,25114.847782,-85.293592,-16721.000000,-7575.000000,18356.809799
30909.915760,25120.771774,-85.272380,-16720.000000,-7578.000000,18357.137141
30919.915035,25087.997728,-85.301784,-16742.000000,-7579.000000,18377.589749
30929.914311,25062.574961,-85.285012,-16751.000000,-7593.000000,18391.564643
30939.913586,25056.873370,-85.326155,-16764.000000,-7583.000000,18399.282187
30949.912861,25040.833816,-85.387902,-16782.000000,-7581.000000,18414.860439
30959.912136,25053.841960,-85.305954,-16759.000000,-7597.000000,18400.502439
30969.911411,25042.844865,-85.292631,-16766.000000,-7610.000000,18412.247446
30979.910687,25015.215694,-85.391233,-16797.000000,-7597.000000,18435.119148
